Parasite.species,Chain.length,Host.habitat,Min.lat,Avg.lat,Max.lat,Min.long,Avg.long,Max.long,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Spirocamallanus hilarii,3,freshwater,-38.416097,-38.416097,-38.416097,-63.61667199999999,-63.61667199999999,-63.61667199999999,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Procamallanus
Spirocamallanus mysti,2,freshwater,23.684994,23.684994,23.684994,90.356331,90.356331,90.356331,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Spirocamallanus
Spirocerca lupi,3,terrestrial,-28.4541105,31.491719847826086,56.130366,-106.346771,13.446031604347827,79,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Spirocerca
Spirura infundibuliformis,2,terrestrial,44.0682019,51.3772795,56.130366,-116.5765035,-112.5551051,-106.346771,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Spirura
Spirura malayensis,2,terrestrial,3.17,3.17,3.17,101.7,101.7,101.7,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Spirura
Spirura rytipleurites,2,terrestrial,26.820553,39.921755588888885,54.5259614,-7.092619999999999,14.87657248888889,59.556278,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Spirura
Spirura talpae,2,terrestrial,26.820553,44.833082233333336,54.5259614,-4.7277528,16.184291933333334,30.802498,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Spirura
Staphylocystis brusatae,2,terrestrial,38.969719,43.494646,48.019573,59.556278,63.239981,66.923684,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Staphylocystis
Staphylocystis furcata,2,terrestrial,0.9618833999999999,41.10688897272727,63.15587019999999,-4.548056,58.90927168181818,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Staphylocystis
Staphylocystis pistillum,2,terrestrial,41.87194,41.87194,41.87194,12.56738,12.56738,12.56738,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Staphylocystis
Staphylocystis scalaris,2,terrestrial,41.87194,48.0540235,54.236107,-4.548056,4.0096620000000005,12.56738,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Staphylocystis
Stephanurus dentatus,2,terrestrial,-35.675147,23.335957219999997,53.7608608,-155.5827818,-3.641870279999998,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Stephanurus
Sterliadochona ephemeridarum,2,freshwater,35.7595731,50.8596707,64.8255441,-127.6476205,-68.32812925555555,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Salmonema
Stilesia globipunctata,2,terrestrial,21.00789,30.8712216,41.87194,-10.940835,33.1553257,79,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Stilesia
Streptocara crassicauda,3,freshwater,27.6648274,49.53746262222222,64.963051,-127.6476205,-15.350129744444445,108.1649965,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Streptocara
Streptopharagus kutassi,2,terrestrial,33.886917,45.12123643333333,54.5259614,2.7356328,44.53369883333333,108.1649965,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Streptopharagus
Streptopharagus pigmentatus,2,terrestrial,-23.59,6.829292666666667,36.204824,29.13,82.71824033333333,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Streptopharagus
Strongylus edentatus,1,terrestrial,-37.01,31.423461526086957,64.963051,-116.5765035,-13.483748991304347,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Strongylus
Strongylus equinus,1,terrestrial,-37.01,29.35404294347826,64.963051,-116.5765035,-8.939565617391303,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Strongylus
Strongylus vulgaris,1,terrestrial,-37.01,32.09173161538462,64.963051,-116.5765035,-14.44200131923077,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Strongylus
Subulura bolivari,2,terrestrial,37.5442706,37.5442706,37.5442706,-4.7277528,-4.7277528,-4.7277528,Animalia,Nematoda,Chromadorea,Rhabditida,Subuluridae,Subulura
Sulcascaris sulcata,2,marine,41.85509039999999,41.863515199999995,41.87194,12.56738,14.92883195,17.2902839,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Sulcascaris
Syncuaria squamata,3,freshwater,23.634501,38.67963535,54.5259614,-102.552784,-65.67169932499999,15.2551187,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Syncuaria
Syphacia muris,1,terrestrial,-25.274398,23.705440978571428,54.236107,-4.7277528,62.488817471428575,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Syphacia
Syphacia obvelata,1,terrestrial,11.59516,43.249839015,64.963051,-111.0937311,17.14594155,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Syphacia
Taenia acinonyxi,2,terrestrial,-6.2649292,1.4400354000000006,9.145000000000001,14.2343282,27.362000600000002,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia asiatica,2,terrestrial,-0.789275,19.704453,36.204824,113.921327,124.37825533333334,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia crassiceps,2,terrestrial,-0.023559,44.873155286956525,64.8255441,-149.4936733,-10.051086330434783,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia crocutae,2,terrestrial,-23.59,-7.222499999999999,9.145000000000001,29.13,34.8098365,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia endothoracicus,2,terrestrial,23.4162027,39.308142025,54.5259614,15.2551187,49.613162675,103.846656,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia gonyamai,2,terrestrial,9.145000000000001,9.145000000000001,9.145000000000001,40.489673,40.489673,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia hyaenae,2,terrestrial,-24.3570767,-12.934025566666666,9.145000000000001,19.5687103,29.7294611,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia hydatigena,2,terrestrial,-40.900557,27.63108330740741,64.963051,-124.8457334,9.351017518518518,174.885971,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia laticollis,2,terrestrial,14.058324,40.303050150000004,56.130366,-116.5765035,-52.589741625,108.277199,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia macrocystis,2,terrestrial,6.42375,34.643869,56.130366,-106.346771,-36.11707966666667,64.585262,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia madoquae,2,terrestrial,-0.023559,4.5607205,9.145000000000001,37.906193,39.197933000000006,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia martis,2,terrestrial,37.09024,50.02733105,63.15587019999999,-106.346771,-2.916971721428571,108.1649965,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia multiceps,2,terrestrial,-35.675147,29.33914201111111,56.130366,-116.5765035,-36.27054215555555,53.688046,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia mustelae,2,terrestrial,27.6648274,49.379121616666666,64.2008413,-149.4936733,0.8326440333333334,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia olngojinei,2,terrestrial,-0.023559,5.244184000000001,9.145000000000001,20.939444,33.11177,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia omissa,2,terrestrial,-6.2555679,33.40522414285714,56.130366,-116.5765035,-78.41349191428571,29.5107708,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia parenchymatosa,2,terrestrial,54.5259614,60.9371055,66.7613451,15.2551187,81.5658759,124.123753,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia parva,2,terrestrial,-24.3570767,25.346962299999998,47.3682887,-4.7277528,11.3833087,30.802498,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Taenia pisiformis,2,terrestrial,-40.900557,31.346455645833334,64.8255441,-124.8457334,-5.355249154166666,174.885971,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia polyacantha,2,terrestrial,36.204824,51.13105511111111,64.8255441,-149.4936733,3.229409977777777,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia regis,2,terrestrial,-23.59,-0.24720223999999985,12.862807,14.2343282,27.00221624,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia rileyi,2,terrestrial,27.6648274,50.391258925,64.2008413,-149.4936733,-112.7319212,-81.5157535,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia saginata,2,terrestrial,-35.675147,22.351026133333335,64.2008413,-149.4936733,20.739715933333333,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia serialis,2,terrestrial,-38.416097,29.233886773684212,64.8255441,-124.8457334,-32.85806388421052,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia simbae,2,terrestrial,9.145000000000001,9.145000000000001,9.145000000000001,40.489673,40.489673,40.489673,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia solium,2,terrestrial,-31.2532183,23.685953223255815,56.95962400000001,-155.5827818,14.88629126744186,146.921099,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia taeniaeformis,2,terrestrial,-40.900557,29.91981244468085,61.92410999999999,-124.508523,7.311494348936171,174.885971,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Taenia taxidiensis,2,terrestrial,37.09024,47.655030866666664,56.130366,-113.571487,-107.25638496666667,-95.712891,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia twitchelli,2,terrestrial,53.7608608,57.006334675,64.2008413,-149.4936733,-117.807706,-98.8138762,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Tatria biremis,2,freshwater,48.379433,52.001089,54.5259614,-116.5765035,-14.926069725,31.1655799,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Amabiliidae,Tatria
Tegorhynchus furcatus,2,marine,14.5401107,19.92220735,25.304304,-90.065918,-82.51677724999999,-74.9676365,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Illiosentidae,Tegorhynchus
Teladorsagia circumcincta,1,terrestrial,-40.900557,31.282278218181816,78.90136,-149.4936733,-13.212054409090909,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Ostertagia
Tetrabothrius erostris,3,marine,7.873053999999999,37.91617824285714,65.2481624,-60.4620977,25.848385714285715,138.252924,Animalia,Platyhelminthes,Cestoda,Tetrabothriidea,Tetrabothriidae,Tetrabothrius
Tetrameres americana,2,terrestrial,27.6648274,27.6648274,27.6648274,-81.5157535,-81.5157535,-81.5157535,Animalia,Nematoda,Chromadorea,Rhabditida,Tetrameridae,Tetrameres
Tetrameres crami,2,freshwater,27.6648274,43.95283943333333,52.9399159,-85.323214,-80.12936786666667,-73.5491361,Animalia,Nematoda,Chromadorea,Rhabditida,Tetrameridae,Tetrameres
Tetrameres mohtedai,2,terrestrial,14.058324,18.029162,22,79,93.6385995,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Tetrameridae,Tetrameres
Tetrameres pattersoni,2,terrestrial,27.6648274,27.6648274,27.6648274,-81.5157535,-81.5157535,-81.5157535,Animalia,Nematoda,Chromadorea,Rhabditida,Tetrameridae,Tetrameres
Thelastoma bulhoesi,1,terrestrial,37.09024,46.0327196,53.7266683,-127.6476205,-88.10006338,2.213749,Animalia,Nematoda,Chromadorea,Rhabditida,Thelastomatidae,Thelastoma
Thubunaea baylisi,2,terrestrial,54.5259614,54.5259614,54.5259614,15.2551187,15.2551187,15.2551187,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Thubunaea
Thysaniezia giardi,2,terrestrial,-28.4541105,23.775730275,53.5587003,-4.7277528,50.304615475,108.1649965,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Thysaniezia
Toxascaris leonina,2,terrestrial,-38.416097,38.260199579310346,71.706936,-149.4936733,-14.280848787931035,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxascaris
Toxocara canis,2,terrestrial,-38.416097,31.765406716923078,64.963051,-124.8457334,-3.9164675784615373,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Toxocara cati,2,terrestrial,-37.01,35.311007970588236,64.963051,-106.4508639,8.5598665,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Toxocara pteropodis,1,terrestrial,-25.274398,-4.329856866666668,27.6648274,-81.5157535,73.0531275,166.9,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Toxocara vitulorum,1,terrestrial,-18.665695,15.981364600000001,55.169438,-64.7627955,55.18281103846154,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxocara
Triaenophorus crassus,3,freshwater,43.6333482,54.74376376,66.7613451,-149.4936733,-29.668664404999998,124.123753,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Triaenophorus
Triaenophorus nodulosus,3,freshwater,37.09024,50.5914988375,63.15587019999999,-116.5765035,-14.943780290625,108.1649965,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Triaenophorus
Triaenophorus stizostedionis,3,freshwater,42.0668852,48.2710936,56.130366,-106.346771,-87.709248325,-77.82706689999999,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Triaenophorus
Trichosomoides crassicauda,1,terrestrial,-40.900557,32.4705469625,56.130366,-106.346771,32.974766675,174.885971,Animalia,Nematoda,Enoplea,Trichinellida,Trichosomoididae,Trichosomoides
Trichospirura leptostoma,2,terrestrial,47.3682887,47.3682887,47.3682887,8.5374552,8.5374552,8.5374552,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Trichospirura
Trichostrongylus axei,1,terrestrial,-40.900557,25.46036384,64.963051,-155.5827818,10.007985546153847,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus colubriformis,1,terrestrial,-40.900557,23.43826142586207,60.47202399999999,-113.571487,18.815058013793102,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus retortaeformis,1,terrestrial,-37.01,37.91288813913044,66.7613451,-73.5491361,21.424238739130434,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus rugatus,1,terrestrial,-33.5,-31.75011575,-30.0002315,20.97,78.58957735,136.2091547,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus skrjabini,1,terrestrial,40.069099,47.506425175000004,54.5259614,12.56738,45.25642105,108.1649965,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus tenuis,1,terrestrial,-35.675147,40.18970519333333,64.963051,-124.8457334,-23.219945146666667,71.276093,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichostrongylus vitrinus,1,terrestrial,-40.900557,29.755254091666664,64.963051,-106.346771,11.089545619444445,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Trichostrongylus
Trichuris discolor,1,terrestrial,-40.900557,32.43998609230769,53.569001,-113.571487,25.59649926923077,174.885971,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris muris,1,terrestrial,-25.274398,39.34901056842105,64.963051,-106.346771,-8.350792073684211,133.775136,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris ovis,1,terrestrial,-40.900557,29.885096577142857,71.706936,-106.346771,3.0507067457142862,174.885971,Animalia,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichocephalus
Trichuris skrjabini,1,terrestrial,-30.0002315,27.12807676923077,54.236107,-89.3985283,43.50712858461538,143.95555,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris suis,1,terrestrial,-35.675147,30.034037854166666,62.27864750000001,-155.5827818,-5.438331287499999,138.252924,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris trichiura,1,terrestrial,-38.416097,17.64267541014493,56.95962400000001,-102.552784,7.810870076811596,138.252924,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trichuris vulpis,1,terrestrial,-38.416097,33.09187693529412,64.963051,-106.346771,-20.048285917647057,138.252924,Animalia,Nematoda,Enoplea,Trichinellida,Trichuridae,Trichuris
Trilobostrongylus bioccai,3,terrestrial,56.130366,56.130366,56.130366,-106.346771,-106.346771,-106.346771,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Trilobostrongylus
Triodontolepis bifurca,2,freshwater,48.379433,51.4526972,54.5259614,15.2551187,23.2103493,31.1655799,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Triodontolepis
Triodontolepis hamanni,2,freshwater,54.5259614,54.5259614,54.5259614,15.2551187,15.2551187,15.2551187,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Triodontolepis
Triodontophorus tenuicollis,1,terrestrial,-37.01,37.537941313333334,64.963051,-116.5765035,2.6253096266666667,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Strongylidae,Triodontophorus
Troglostrongylus brevior,3,terrestrial,41.87194,41.87194,41.87194,12.56738,12.56738,12.56738,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Troglostrongylus
Truttaedacnitis pybusae,1,freshwater,51.253775,51.253775,51.253775,-85.323214,-85.323214,-85.323214,Animalia,Nematoda,Chromadorea,Rhabditida,Cucullanidae,Cucullanus
Truttaedacnitis truttae,2,freshwater,34.0489281,46.557186542857146,56.130366,-127.6476205,-73.51777801428571,12.56738,Animalia,Nematoda,Chromadorea,Rhabditida,Cucullanidae,Cucullanus
Tschertkovilepis setigera,2,freshwater,37.5442706,49.60722297142857,63.15587019999999,-106.346771,7.825850914285714,66.923684,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Tschertkovilepis
Turgida turgida,2,terrestrial,15.783471,25.398744333333333,36.778261,-119.4179324,-104.06715846666667,-90.23075899999999,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Turgida
Umingmakstrongylus pallikuukensis,2,terrestrial,52.9399159,57.96527533333334,64.8255441,-124.8457334,-112.54778943333334,-106.346771,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Umingmakstrongylus
Uncinaria stenocephala,1,terrestrial,-37.01,39.47287858205128,71.706936,-149.4936733,-16.45027122820513,144.75,Animalia,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Uncinaria
Urocystis prolifer,2,terrestrial,48.019573,50.280849325,53.5587003,10.451526,54.1764466,108.1649965,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis
Valipora campylancristrota,3,freshwater,23.634501,41.88063006666667,54.5259614,-102.552784,13.874531283333333,103.846656,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dipylidiidae,Dipylidium
Valipora minuta,3,freshwater,23.634501,23.634501,23.634501,-102.552784,-102.552784,-102.552784,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Gryporhynchidae,Valipora
Valipora mutabilis,3,freshwater,23.634501,25.6496642,27.6648274,-102.552784,-92.03426875,-81.5157535,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Gryporhynchidae,Valipora
Varestrongylus alpenae,2,terrestrial,56.130366,56.130366,56.130366,-106.346771,-106.346771,-106.346771,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Varestrongylus
Varestrongylus capreoli,2,terrestrial,41.87194,51.27061080000001,60.12816100000001,2.213749,13.59556224,24.1016552,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Varestrongylus
Varestrongylus pneumonicus,2,terrestrial,22,26.1876605,30.375321,69.34511599999999,74.172558,79,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Varestrongylus
Varestrongylus sagittatus,2,terrestrial,-40.900557,12.8385512,41.87194,-4.7277528,60.90853273333334,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Varestrongylus
Variolepis farciminosa,2,terrestrial,7.539988999999999,30.66060352,48.379433,-102.552784,11.318177420000001,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Variolepis
Vigisospirura potekhina,2,terrestrial,37.5442706,37.5442706,37.5442706,-4.7277528,-4.7277528,-4.7277528,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Vigisospirura
Wardium fusa,2,freshwater,33.223191,47.588924666666664,61.52401,43.679291,71.97391033333332,105.318756,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Wardium
Wardium paraporale,2,freshwater,53.9332706,53.9332706,53.9332706,-116.5765035,-116.5765035,-116.5765035,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Wardium
Wardium stellorae,2,freshwater,48.019573,48.019573,48.019573,66.923684,66.923684,66.923684,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Wardium
