Parasite.species,Chain.length,Host.habitat,Min.lat,Avg.lat,Max.lat,Min.long,Avg.long,Max.long,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Procamallanus laeviconchus,3,freshwater,-6.2649292,9.5392819666666675,26.820553,-14.452362,15.344863533333333,32.290275,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Procamallanus
Procamallanus spiculogubernaculus,2,freshwater,23.684994,23.684994,23.684994,90.356331,90.356331,90.356331,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Procamallanus
Prochristianella hispida,3,marine,25.304304,25.304304,25.304304,-90.065918,-90.065918,-90.065918,Animalia,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Prochristianella
Procyrnea zorillae,3,terrestrial,38.969719,38.969719,38.969719,59.556278,59.556278,59.556278,Animalia,Nematoda,Chromadorea,Rhabditida,Habronematidae,Procyrnea
Profilicollis altmani,2,marine,35.7595731,36.26891705,36.778261,-119.4179324,-99.21861605,-79.01929969999999,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Profilicollis botulus,2,marine,53.7266683,58.918190325,64.963051,-127.6476205,-33.670971125,8.468945999999999,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Profilicollis novaezelandensis,2,marine,-42.6919232,-42.6919232,-42.6919232,171.3399414,171.3399414,171.3399414,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Proleptus niedmanni,2,marine,-32.98,-32.98,-32.98,-71.00999999999999,-71.00999999999999,-71.00999999999999,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Proleptus
Proleptus obtusus,2,marine,-33.137551,31.62985518571428,56.41323389999999,-77.40677199999999,6.109307742857144,81.826172,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Proleptus
Prosthenorchis elegans,2,terrestrial,23.634501,39.84338833333333,48.379433,-102.552784,-18.9457107,31.1655799,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Prosthenorchis
Proteocephalus ambiguus,2,freshwater,39.370134,54.273120657142854,63.15587019999999,-77.40677199999999,0.3888131428571449,32.9905552,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus ambloplitis,4,freshwater,18.220833,40.767669507142855,53.569001,-113.571487,-90.28472939285714,-66.590149,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus cernuae,2,freshwater,37.09024,55.30519405,63.15587019999999,-95.712891,17.2489003,105.318756,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus filicollis,3,freshwater,39.370134,55.88314896428571,63.15587019999999,-116.5765035,-4.375640449999999,105.318756,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus fluviatilis,3,freshwater,36.204824,43.64220234,51.253775,-85.323214,-37.744478459999996,138.252924,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus longicollis,4,freshwater,39.370134,53.968599765,71.706936,-106.346771,-10.207609329999999,32.9905552,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus macrocephalus,2,freshwater,37.09024,50.26835462727273,64.963051,-113.571487,-18.01703196818182,32.9905552,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus osculatus,2,freshwater,33.223191,47.0219008375,55.169438,-4.548056,29.908298124999998,59.6134113,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Glanitaenia
Proteocephalus pearsei,2,freshwater,37.09024,47.40641822,56.130366,-113.571487,-91.71489253,-77.82706689999999,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus percae,4,freshwater,37.5442706,51.24441103333333,63.15587019999999,-88.7878678,18.58355230952381,108.1649965,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus thymalli,2,freshwater,46.862496,54.617769814285715,63.15587019999999,15.2551187,44.949834114285714,108.1649965,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Proteocephalus torulosus,3,freshwater,23.634501,48.52495613125,63.15587019999999,-102.552784,17.0267306625,105.318756,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Proteocephalidae,Proteocephalus
Protospirura muricola,2,terrestrial,-13.254308,9.443471875,38.969719,-124.508523,10.504352500000003,171.184478,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Protospirura
Protospirura numidica,2,terrestrial,-38.416097,10.2979902,37.5442706,-81.5157535,-43.06756626,9.537499,Animalia,Nematoda,Chromadorea,Rhabditida,Spiruridae,Protospirura
Protostrongylus boughtoni,2,terrestrial,43.7844397,54.3782529,64.2823274,-135,-109.1050037,-88.7878678,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus cuniculorum,2,terrestrial,41.2745004,41.5732202,41.87194,-1.2121322,5.6776239,12.56738,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus davtiani,2,terrestrial,40.143105,40.760298,41.377491,47.576927,56.0810945,64.585262,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus hobmaieri,2,terrestrial,40.143105,44.237809075,53.5587003,12.56738,58.223641375,108.1649965,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus rufescens,2,terrestrial,-40.900557,25.453689255555556,46.227638,-95.712891,2.192196611111114,174.885971,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus skrjabini,2,terrestrial,41.377491,41.377491,41.377491,64.585262,64.585262,64.585262,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Protostrongylus tauricus,2,terrestrial,37.5442706,37.5442706,37.5442706,-4.7277528,-4.7277528,-4.7277528,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Protostrongylus
Pseudalius inflexus,2,marine,-14.5994134,46.33575027272727,62.4113634,-149.0729714,-16.286719154545455,34.299316,Animalia,Nematoda,Chromadorea,Rhabditida,Pseudaliidae,Pseudalius
Pseudanoplocephala crawfordi,2,terrestrial,14.058324,14.058324,14.058324,108.277199,108.277199,108.277199,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Pseudanoplocephala
Pseudhymenolepis redonica,2,terrestrial,37.5442706,39.591662166666666,41.87194,-4.7277528,3.5250866666666667,12.56738,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Pseudhymenolepis
Pseudocapillaria tomentosa,2,freshwater,23.634501,44.40598137,60.47202399999999,-102.552784,9.01318161,138.252924,Animalia,Nematoda,Enoplea,Trichinellida,Capillariidae,Pseudocapillaria
Pseudoterranova cattani,4,marine,-32.98,-32.98,-32.98,-71.00999999999999,-71.00999999999999,-71.00999999999999,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Pseudoterranova
Pseudoterranova decipiens,4,marine,-42.6919232,41.94257208529412,71.706936,-149.4936733,-7.398942344117647,171.3399414,Animalia,Nematoda,Chromadorea,Rhabditida,Anisakidae,Pseudoterranova
Pterygodermatites affinis,3,terrestrial,37.5442706,41.72958725,46.227638,-4.7277528,2.210311,12.56738,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Pterygodermatites
Pterygodermatites coloradensis,2,terrestrial,38.8026097,41.4354058,44.0682019,-116.419389,-115.5807149,-114.7420408,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Pterygodermatites
Pterygodermatites hispanica,2,terrestrial,37.5442706,37.5442706,37.5442706,-4.7277528,-4.7277528,-4.7277528,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Pterygodermatites
Pterygodermatites peromysci,2,terrestrial,27.6648274,27.6648274,27.6648274,-81.5157535,-81.5157535,-81.5157535,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Pterygodermatites
Quadriplotriaena hypsokysta,2,terrestrial,53.9332706,53.9332706,53.9332706,-116.5765035,-116.5765035,-116.5765035,Animalia,Nematoda,Chromadorea,Rhabditida,Diplotriaenidae,Quadriplotriaena
Rabbium paradoxus,2,terrestrial,27.6648274,27.6648274,27.6648274,-81.5157535,-81.5157535,-81.5157535,Animalia,Nematoda,Chromadorea,Rhabditida,Seuratidae,Rabbium
Raillietina australis,2,terrestrial,-37.01,-32.75448326666667,-30.0002315,136.2091547,142.62675123333332,146.921099,Animalia,Arthropoda,Arachnida,Mesostigmata,Raillietiidae,Raillietia
Raillietina beveridgei,2,terrestrial,-37.01,-33.50511575,-30.0002315,136.2091547,140.47957735,144.75,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raillietina cesticillus,2,terrestrial,-35.675147,18.554217945454546,41.87194,-81.5157535,25.76513768181818,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Skrjabinia
Raillietina chiltoni,2,terrestrial,-30.0002315,-30.0002315,-30.0002315,136.2091547,136.2091547,136.2091547,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raillietina dromaius,2,terrestrial,-37.01,-32.75448326666667,-30.0002315,136.2091547,142.62675123333332,146.921099,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raillietina echinobothrida,2,terrestrial,3.17,27.849736411764706,48.379433,-95.712891,45.47507958235294,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raillietina georgiensis,2,terrestrial,27.6648274,27.6648274,27.6648274,-81.5157535,-81.5157535,-81.5157535,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
Raillietina mitchelli,2,terrestrial,-30.0002315,-30.0002315,-30.0002315,136.2091547,136.2091547,136.2091547,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Davaineidae,Raillietina
