Foodweb,Full_name,Source_Brose,Source_Gilbert,Source_EcoBase,Source_GlobalWeb,Citation,Notes,Habitat,Latitude,Longitude,AbsLat,Nodes,Links,Link_Density,Generality,Norm_Gen,Vulnerability,Norm_Vul,Fraction_Basal,Fraction_Intermediate,Fraction_Top,Mean_Food_Chain,Modularity,MinLat,MaxLat,MinLon,MaxLon
ChileEQ,Chilean Intertidal El Quisco,yes,no,no,no,KÃ©fi et al. 2015,Intertidal study sites in Chile: El Quisco,marine,-33.366273,-71.696091,33.366273,101,1345,13.31683168,25.37735849,1.905660377,14.46236559,1.086021505,0.475247525,0.445544554,0.079207921,5.580415312,0.174204301,,,,
ChileLC,Chilean Intertidal Las Cruces,yes,no,no,no,KÃ©fi et al. 2015,Intertidal study sites in Chile: Las Cruces (ECIM),marine,-33.49763681,-71.65047111,33.49763681,105,1355,12.9047619,23.36206897,1.810344828,13.96907216,1.082474226,0.447619048,0.476190476,0.076190476,5.581569151,0.185094386,,,,
ChileLM,Chilean Intertidal Los Molles,yes,no,no,no,KÃ©fi et al. 2015,Intertidal study sites in Chile: Los Molles,marine,-32.236792,-71.526185,32.236792,105,1350,12.85714286,23.27586207,1.810344828,13.91752577,1.082474227,0.447619048,0.476190476,0.076190476,5.582899256,0.187969179,,,,
Cochin Backwater,Cochin Backwater - India,no,yes,no,no,"Qazim, S.Z. (1970) Some problems related to the food chain in a tropical estuary. In: J.H. Steele (ed.). (1970) Marine Food Chains. (Oliver and Boyd, Edinburgh), pp. 45-51, from p. 50.",Cochin Backwater - India,marine,21.75043945,73.1125,21.75043945,9,18,2,2.571428571,1.285714286,2.25,1.125,0.222222222,0.666666667,0.111111111,4.237,0.097222222,,,,
Cockburn_Sound,Cockburn Sound,no,no,yes,no,"Lozano-Montes, H., Loneragan, N., Fourie, S., Wise B. (2024). Using conceptual, qualitative and quantitative ecosystem models to characterise the trophic structure, ecosystem attributes and functioning of Cockburn Sound. Prepared for the WAMSI Westport Marine Science Program. 148 pp.",Australia Coastal lagoon,marine,-32.6325859,115.636028,32.6325859,73,473,6.479452055,7.059701493,1.089552239,6.855072464,1.057971014,0.082191781,0.849315068,0.068493151,6.24,0.310150942,-32.5213,-32.779,115.634,115.7357
Company Bay,Company Bay - Intertidal,no,yes,no,no,"R.M. Thompson, K.N. Mouritsen and R. Poulin. (2005). Importance of parasites and their life cycle characteristics in determining the structure of a large marine food web. Journal of Animal Ecology. 74, pp. 77-85. ",Company Bay - Intertidal mudflat - New Zealand,marine,-45.90544223,170.6196979,45.90544223,78,607,7.782051282,8.315068493,1.068493151,7.986842105,1.026315789,0.064102564,0.91025641,0.025641026,10.8475,0.234890675,,,,
Contemporary_Alosine,Contemporary Alosine,no,no,yes,no,Dias et al. 2019,United States Continental shelf,marine,40,-70.5,40,59,933,15.81355932,16.36842105,1.035087719,15.81355932,1,0.033898305,0.966101695,0,7.8505,0.110001235,45,35,-76,-65
Coral reefs,Coral reefs - Marshall Islands,no,yes,no,no,"R.W. Hiatt and D.W. Strasburg. (1960). Ecological Relationships of the Fish Fauna on Coral Reefs of the Marshall Islands. Ecological Monographs, 30(1), pp. 65-127.",Coral reefs - Marshall Islands,marine,8.8126527,167.7302636,8.8126527,14,23,1.642857143,2.090909091,1.272727273,1.916666667,1.166666667,0.214285714,0.642857143,0.142857143,4.5765,0.309073724,,,,
Crooked_Island_Sound,"Crooked Island Sound, Florida",no,no,no,yes,Bethea et al (2006),Coastal Bay,marine,29.98585925,-85.51609787,29.98585925,2,1,0.5,1,2,1,2,0.5,0,0.5,2,0,,,,
Crystal River estuary,Crystal River estuary - Florida,no,yes,no,no,"Kemp, W.M., Smith, W.H.B., McKellar, H.N., Lehman, M.E., Homer, M., Young, D.L. and Odum, H.T. (1977). Energy cost-benefit analysis applied to power plants near Crystal River, Florida. In C.A.S. Hall and J.W. Day, Jr. (eds). Ecosystem Modeling in Theory and Practice: An Introduction with Case Histories (Wiley, New York), pp. 507-543.",Crystal River estuary - Florida,marine,28.05683612,-80.59562798,28.05683612,14,28,2,2.333333333,1.166666667,2.8,1.4,0.142857143,0.571428571,0.285714286,3.4325,0.198341837,,,,
Cyprus_insular_shelf_trophic_model,Cyprus insular shelf trophic model,no,no,yes,no,"Michailidis N, Corrales X, Karachle PK, Chartosia N, Katsanevakis S, Sfenthourakis S, 2019. Modelling the role of alien species and fisheries in an Eastern Mediterranean insular shelf ecosystem. Ocean and Coastal Management 175:152-171.",Cyprus marine-coastal,marine,34.70759863,33.23447191,34.70759863,40,437,10.925,12.13888889,1.111111111,12.13888889,1.111111111,0.1,0.8,0.1,6.8305,0.129154123,35.2,34.5,32.2,34.2
Deep_Western_Mediterranean_sea,Deep Western Mediterranean sea,no,no,yes,no,"Tecchio S.,Coll M.,Christensen V.,Company J.B.,RamÃÂ­rez-Llodra E.,SardÃÂ  F.(2013). Food web structure and vulnerability of a deep-sea ecosystem in the NW Mediterranean Sea Deep Sea Research Part I: Oceanographic Research Papers. pp 1-15",Spain open ocean,marine,41.1,2.7,41.1,21,122,5.80952381,6.777777778,1.166666667,6.421052632,1.105263158,0.095238095,0.80952381,0.047619048,5.5545,0.12591353,41.2,41,2.4,3
Denmark__Faroe_Islands,"Denmark, Faroe Islands",no,no,yes,no,"Zeller D.,Reinert J.(2004). Modelling spatial closures and fishing effort restrictions in the Faroe Islands marine ecosystem Ecological Modelling. pp 403-420",Faroe Island open ocean,marine,61.5,-7,61.5,20,126,6.3,7,1.111111111,6.631578947,1.052631579,0.1,0.8,0.1,6.13,0.12488901,63,60,-10,-4
East_Bass_Strait,East Bass Strait,no,no,yes,no,"Bulman C.,Condie S.,Furlani D.,Cahill M.,Klaer N.,Goldsworthy S.,Knuckey I.(2006). Trophic dynamics of the eastern shelf and slope of the south east fishery: impacts of and on the fishery Final Report for Fisheries Research & Development Corporation",Australia continental shelf,marine,-37.83343645,148.2481463,37.83343645,59,570,9.661016949,10.36363636,1.072727273,9.827586207,1.017241379,0.06779661,0.898305085,0.033898305,8.354,0.171557025,-36,-39.5,146.5,149.9447
Eastern_Bering_Sea,Eastern Bering Sea,no,no,yes,no,"Trites A.W.,Livingston P.A.,Mackinson S.,Vasconcellos M.C.,Springer A.M.,Pauly D.(1999). Ecosystem Change and the Decline of Marine Mammals the Eastern Bering Sea: Testing the Ecosystem Shift and Commercial Whaling Hypotheses Fisheries Centre Research Reports",United States of America open ocean,marine,57.626205,-168.7631,57.626205,25,157,6.28,7.136363636,1.136363636,7.85,1.25,0.08,0.64,0.24,5.0615,0.143129687,61.25066,54.00175,-179.7048,-157.8214
Eastern_Corsican_Coast,Eastern Corsican Coast,no,no,yes,no,Vanalderweireldt et al. (2022),France Continental shelf,marine,42.15341479,9.555055618,42.15341479,39,375,9.615384615,11.02941176,1.147058824,10.71428571,1.114285714,0.128205128,0.769230769,0.102564103,7.3435,0.125041766,42.74,41.58,9.28,9.7
Eastern_Mediterranean,Eastern Mediterranean,no,no,no,yes,Stergiou & Fourtouni (1991),Euboikos and Pagassitikos Gulfs,marine,37.9965774,22.91772817,37.9965774,18,17,0.944444444,17,18,1,1.058823529,0.944444444,0,0.055555556,2,0,,,,
Eastern_Scotian_Shelf,Eastern Scotian Shelf,no,no,yes,no,Bundy A.(2004). Mass balance models of the eastern Scotian Shelf before and after the cod collapse and other ecosystem changes Canadian Technical Report of Fisheries and Aquatic Sciences,Canada continental shelf,marine,44.088595,-60.017565,44.088595,39,473,12.12820513,12.78378378,1.054054054,13.13888889,1.083333333,0.051282051,0.846153846,0.102564103,6.132,0.101542817,45.79407,42.38312,-63.50032,-56.53481
Ems estuary,Ems estuary - Wadden Sea,no,yes,no,no,"F.B. vanEs. (1977). A preliminary carbon budget for a part of the Ems estuary: The Dollard. Helgolander wiss. Meeresunters. 30, pp. 283-294.",Ems estuary - Wadden Sea,marine,53.4308448,6.9476008,53.4308448,12,30,2.5,3.333333333,1.333333333,2.727272727,1.090909091,0.25,0.666666667,0.083333333,4.285,0.197777778,,,,
England,MBP1,yes,no,no,no,"Vinagre et al., unpublished",Intertidal rocky pools,marine,50.357325,-4.127006,50.357325,83,969,11.6746988,17.30357143,1.482142857,12.58441558,1.077922078,0.325301205,0.602409639,0.072289157,11.31888443,0.166402431,,,,
Eritrea,Eritrea,no,no,yes,no,"Tsehaye I.,Nagelkerke L.A.J.(2008). Exploring optimal fishing scenarios for the multispecies artisanal fisheries of Eritrea using a trophic model Ecological Modelling. pp 319-333",Eritrea coral reef,marine,15.507555,40.86503,15.507555,19,150,7.894736842,9.375,1.1875,7.894736842,1,0.157894737,0.842105263,0,8.057,0.125651578,18.32644,12.68867,38.55864,43.17142
Estuarine mangrove,Estuarine mangrove - Everglades,no,yes,no,no,"Odum, W.E. and Heald, E.J. (1975). The detritus-based food web of an estuarine mangrove community, In: Estuarine Research, Vol. 1, Chemistry, Biology and the Estuarine System, (Academic Press, New York), pp. 265-286.",Estuarine mangrove - Everglades,marine,37.96480705,-122.4941244,37.96480705,14,17,1.214285714,1.7,1.4,1.545454545,1.272727273,0.285714286,0.5,0.214285714,5.3245,0.396193772,,,,
Exposed rocky shore,Exposed rocky shore - New England - U.S.A.,no,yes,no,no,"B.A. Menge and J.P. Sutherland. Species Diversity Gradients: Synthesis of the Roles of Predation, Competition, and Temporal Heterogeneity. The American Naturalist, 110(973), pp. 351-369.",Exposed rocky shore - New England - U.S.A.,marine,14.45589094,120.8789157,14.45589094,5,6,1.2,2,1.666666667,1.5,1.25,0.4,0.4,0.2,3,0,,,,
Exposed rocky shore,Exposed rocky shore - Washington,no,yes,no,no,"B.A. Menge and J.P. Sutherland. Species Diversity Gradients: Synthesis of the Roles of Predation, Competition, and Temporal Heterogeneity. The American Naturalist, 110(973), pp. 351-369.",Exposed rocky shore - Washington,marine,38.88925781,-77.03037109,38.88925781,13,26,2,2.6,1.3,2.363636364,1.181818182,0.230769231,0.615384615,0.153846154,3.214,0.25739645,,,,
Falkland_Islands,Falkland Islands,no,no,yes,no,Tobias Baring,Falkland Islands,marine,-52,-58,52,36,296,8.222222222,8.96969697,1.090909091,8.222222222,1,0.083333333,0.916666667,0,9.926,0.146243082,-56,-48,-64,-52
Faroe-Shetland Channel,Sub-arctic deep-sea benthic community - Faroe-Shetland Channel - NE Atlantic Ocean,no,yes,no,no,"Gontikaki, E., van Oevelen, D., Soetaert, K., and Witte, U. (2011). Food web flows through a sub-arctic deep-sea benthic community. Progress in Oceanography. 91, pp. 245-259.",Sub-arctic deep-sea benthic community - Faroe-Shetland Channel - NE Atlantic Ocean,marine,-3.708083643,-38.50680442,3.708083643,18,61,3.388888889,5.545454545,1.636363636,4.357142857,1.285714286,0.277777778,0.5,0.111111111,3.76,0.14135985,,,,
Florida_Bay,Florida Bay,no,no,yes,no,"Smith, M., Chagaris, D., Paperno, R. and Markwith, S., 2020. Ecosystem structure and resilience of the Florida Bay Estuary: an original ecosystem model with implications for everglades restoration",United States Estuary,marine,25.05,-80.7,25.05,47,271,5.765957447,6.609756098,1.146341463,6.452380952,1.119047619,0.127659574,0.765957447,0.106382979,4.482,0.186013262,25.3,24.8,-81.1,-80.3
French_Polynesian_EEZ,French Polynesian EEZ,no,no,no,yes,Menard et al (2006),open ocean,marine,-12,-144,12,6,8,1.333333333,4,3,2,1.5,0.666666667,0,0.333333333,2,0,,,,
Galapagos,Galapagos,no,no,yes,no,"Ruiz DJ, Banks S, Wolff M, 2016, Elucidating fishing effectes in a large-predator dominanted system",Ecuador Coral reef,marine,0.1350825,-90.62469,0.1350825,33,151,4.575757576,5.206896552,1.137931034,4.575757576,1,0.121212121,0.878787879,0,5.881,0.2434,1.681575,-1.41141,-92.00849,-89.24089
Georges_Bank,Georges Bank,no,no,yes,no,"Link J.S.,Griswold C.A.,Methratta E.T.,Gunnard J.(2006). Documentation for the Energy Modeling and Analysis eXercise (EMAX) Northeast Fisheries Science Center Reference Document",United States of America continental shelf,marine,41.085655,-67.76198,41.085655,31,290,9.35483871,10.35714286,1.107142857,9.35483871,1,0.096774194,0.870967742,0.032258065,6.9695,0.193764548,42.1963,39.97501,-69.95713,-65.56683
Germany__Schlei_Fjord,"Germany, Schlei Fjord",no,no,yes,no,"Christensen V.,Pauly D.(1992). The ECOPATH II - a software for balancing steady-state ecosystem models and calculating network characteristics Ecological Modelling. pp 169-185",Germany bay/fjord,marine,54.47246094,9.868652344,54.47246094,10,17,1.7,2.125,1.25,2.125,1.25,0.2,0.6,0.2,4.3145,0.193771626,54.61037,54.3,9.3,9.7
Gironde_estuary,Gironde estuary,no,no,yes,no,Lobry J.(2004). Which reference pattern of functioning for estuarine ecosystems? The case of fish successions in the Gironde estuary,France estuary,marine,45.29863838,-0.761255877,45.29863838,18,72,4,4.5,1.125,5.538461538,1.384615385,0.111111111,0.611111111,0.277777778,4.119,0.183738426,45.72354,44.8392,-1.383847,-0.3415002
Golfo_Dulce,Golfo Dulce,no,no,yes,no,"Wolff M.,Hartmann H.J.,Koch V.(1996). A pilot trophic model for Golfo Dulce, a fjord-like tropical embayment, Costa Rica Revista de Biologia Tropical. pp 215-231",Costa Rica bay/fjord,marine,8.5528925,-83.28593,8.5528925,21,117,5.571428571,6.157894737,1.105263158,6.157894737,1.105263158,0.095238095,0.80952381,0.095238095,6.565,0.140756144,8.753916,8.351869,-83.50036,-83.0715
Goodwin Islands,Seagrass Foodweb - August 2006 - Goodwin Islands - USA,no,yes,no,no,"Douglas, J.G., Duffy, J.E., and Canuel, E.A. (2011). Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts. 34, pp. 701-711.",Zostera marina (eelgrass) - Seagrass Foodweb matrix (gut contents) - August 2006 - Goodwin Islands - USA,marine,37.2186555,-76.4069022,37.2186555,25,41,1.64,3.727272727,2.272727273,2.733333333,1.666666667,0.56,0.04,0.4,2.127,0.394110648,,,,
Grand_Banks_of_Newfoundland,"Canada, Grand Banks of Newfoundland",no,no,yes,no,"Bundy A.(2002). Adaptation of a Newfoundland-Labrador Ecopath model for 1985-1987 in statistical area 2J3KLNO to the area 2J3KL Information supporting past and present ecosystem models of Northern British Columbia and the Newfoundland shelf. pp 13-21. In Pitcher T.,Vasconcellos M.,Heymans S.J.J.,Brignall C.,Haggan N.",Canada open ocean,marine,50.666665,-51.387095,50.666665,31,278,8.967741935,9.586206897,1.068965517,10.2962963,1.148148148,0.064516129,0.806451613,0.129032258,5.428,0.127810485,55.33333,46,-60.77419,-42
Grand_Banks_of_Newfoundland,Grand Banks of Newfoundland,no,no,yes,no,Heymans J.J.(2003). Ecosystem models of Newfoundland and Southeastern Labrador: Additional information and analyses for 'Back to the Future' Fisheries Centre Research Reports,Canada open ocean,marine,44.9645,-58.549,44.9645,50,563,11.26,11.72916667,1.041666667,12.51111111,1.111111111,0.04,0.86,0.1,6.0325,0.136318393,46.984,42.945,-60,-57.098
Grand_Banks_region,Grand Banks region,no,no,yes,no,"Wudrick, A. Comparison of ecosystem models of the Newfoundland and Labrador Shelf and Grand Ba",Canada Continental shelf,marine,49.07944336,-55.35317383,49.07944336,45,452,10.04444444,10.51162791,1.046511628,10.04444444,1,0.044444444,0.955555556,0,10.694,0.135975063,55,42,-60,-51
Great_Channel_South,"Great Channel South, Gulf of Maine, New England",no,no,no,yes,"Chase, B.C. (2002)",Shelf,marine,42.18333333,-70.26666667,42.18333333,7,6,0.857142857,6,7,1,1.166666667,0.857142857,0,0.142857143,2,0,,,,
Great_South_Bay,"Great South Bay, Long Island, New York",no,no,no,yes,Juanes & Conover (1995),Coastal bay,marine,40.16666667,-73.16666667,40.16666667,2,1,0.5,1,2,1,2,0.5,0,0.5,2,0,,,,
Greenland,Greenland,no,no,no,yes,Bainbridge & McKay (1968),"Coastal, SW & SE Greenland",marine,60,-40,60,5,5,1,2.5,2.5,1.666666667,1.666666667,0.6,0,0.4,2,0.08,,,,
Greenland__West_Coast,"Greenland, West Coast",no,no,yes,no,"Pedersen S.A.,Zeller D.(2001). A mass balance model for the West Greenland marine ecosystem Fisheries Impacts on North Atlantic Ecosystems: Models and Analyses. pp 111-127. In GuÃÂ©nette S.,Christensen V.,Pauly D.,GuÃÂ©nette S.,Christensen V.,Pauly D.",Greenland open ocean,marine,65.00158854,-50.75908446,65.00158854,22,129,5.863636364,6.45,1.1,7.588235294,1.294117647,0.090909091,0.681818182,0.227272727,5.036,0.15996032,71.0465,59.2196,-56.15406,-43.94191
Guerrero - Mexico,Marine coastal lagoons - Guerrero - Mexico,no,yes,no,no,"YÃ¡Ã±ez-Arancibia, (1978). TaxonomÃ­a, ecologÃ­a y estructura de las comunidades de peces en lagunas costeras con bocas efÃ­meras del PacÃ­fico de MÃ©xico. (Cent. Cienc. del Mar y Limnol. Univ. Nal. Auton. Mex. Publ. Espec. 2:1-306. ",Marine coastal lagoons - Guerrero - Mexico,marine,17.01038281,-100.3049066,17.01038281,12,29,2.416666667,3.222222222,1.333333333,2.636363636,1.090909091,0.25,0.666666667,0.083333333,4.499,0.173008323,,,,
Guinea,Guinea,no,no,yes,no,"GuÃÂ©nette S.,Diallo I.(2004). Addendum: ModÃÂ¨les de la cÃÂ´te guinÃÂ©enne, 1985 et 1998 West African marine ecosystems: models and fisheries impacts. pp 124-159. In Palomares M.L.D.,Pauly D.",Guinea open ocean,marine,9.3059135,-15.374555,9.3059135,44,464,10.54545455,11.04761905,1.047619048,10.54545455,1,0.045454545,0.954545455,0,9.08,0.170061437,11.16847,7.443357,-18.20205,-12.54706
Gulf_of_Alaska,Gulf of Alaska,no,no,no,yes,"Brodeur, R. (1998)",Nearshore waters,marine,56.83333333,-156,56.83333333,12,11,0.916666667,11,12,1,1.090909091,0.916666667,0,0.083333333,2,0,,,,
Gulf_of_California,Gulf of California,no,no,yes,no,"Lercari D.,ArreguÃÂ­n-SÃÂ¡nchez F.(2009). An ecosystem modelling approach to deriving viable harvest strategies for multispecies management of the Northern Gulf of California Aquatic Conservation: Marine and Freshwater Ecosystems. pp 384-397",Mexico continental shelf,marine,30.75,-113.5,30.75,34,341,10.02941176,11,1.096774194,10.02941176,1,0.088235294,0.911764706,0,7.171,0.127825699,32.5,29,-116,-111
Gulf_of_Carpentaria,Gulf of Carpentaria,no,no,yes,no,"Okey T.A.,Griffiths S.,Pascoe S.,Kenyon R.,Miller M.,Dell Q.,Pillans R.,Buckworth R.C.,Gribble N.,Engstrom N.,Bishop J.,Milton D.,Salini J.,Stevens J.(2007). The effect of illegal foreign fishing on the ecosystem in the Gulf of Carpentaria: management options and downstream effects on other fisheries Final Report to Australian Fisheries Management Authority Project 2006/825",Australia bay/fjord,marine,-14.400165,138.85405,14.400165,83,1029,12.39759036,13.90540541,1.121621622,16.078125,1.296875,0.108433735,0.662650602,0.228915663,5.5375,0.151214366,-10.22624,-18.57409,134.9135,142.7946
Gulf_of_Corinth,Gulf of Corinth,no,no,yes,no,"Raptis N, Papantoniou G, Raitsos DE, Damalas D, Tsagarakis K (2025) Ecopath modelling Unravels the food web of the Gulf of Corinth, a deep Mediterranean important marine Mammal area. Deep Sea Research Part I: Oceanographic Research Papers 218:104466.",Greece bay/fjord,marine,38.185,22.5,38.185,39,457,11.71794872,12.35135135,1.054054054,11.71794872,1,0.051282051,0.948717949,0,11.6335,0.115302419,38.45,37.92,21.77,23.23
Gulf_of_Gabes,Gulf of Gabes,no,no,yes,no,"Hattab, T., Ben Rais Lasram, F., Albouy, C., Romdhane, M.S., Jarboui, O., Halouani, G., Cury, P., Le LocÃ¢ÂÂh, F., 2013. An ecosystem model of an exploited southern Mediterranean shelf region (Gulf of Gabes, Tunisia) and a comparison with other Mediterranean ecosystem model properties. Journal of Marine Systems 128, 159Ã¢ÂÂ174. doi:10.1016/j.jmarsys.2013.04.017",Tunisia Continental shelf,marine,34.318025,11.803055,34.318025,41,413,10.07317073,11.47222222,1.138888889,11.16216216,1.108108108,0.12195122,0.780487805,0.097560976,5.8395,0.155151398,35.24257,33.39348,10.1088,13.49731
Gulf_of_Maine,Gulf of Maine,no,no,yes,no,"Link J.S.,Griswold C.A.,Methratta E.T.,Gunnard J.(2006). Documentation for the Energy Modeling and Analysis eXercise (EMAX) Northeast Fisheries Science Center Reference Document",United States of America continental shelf,marine,42.910645,-68.126855,42.910645,31,286,9.225806452,10.21428571,1.107142857,9.225806452,1,0.096774194,0.870967742,0.032258065,7.0545,0.197714497,44.52643,41.29486,-71.09291,-65.1608
Gulf_of_Mexico,Gulf of Mexico,no,no,yes,no,"Walters C.,Martell S.J.D.,Christensen V.,Mahmoudi B.(2008). An Ecosim model for exploring ecosystem management options for the Gulf of Mexico: implications of including multistanza life history models for policy predictions Bulletin of Marine Science. pp 251-271","Mexico,United States of America continental shelf",marine,27.5,-89.5,27.5,48,292,6.083333333,6.636363636,1.090909091,7.891891892,1.297297297,0.083333333,0.6875,0.229166667,4.9455,0.181782218,31,24,-98,-81
Gulf_of_Nicoya,Gulf of Nicoya,no,no,yes,no,"Wolff M.,Chavarria J.B.,Koch V.,Vargas J.A.(1998). A trophic flow model of the Golfo de Nicoya, Costa Rica Revista de Biologia Tropical. pp 63-79",Costa Rica estuary,marine,9.8756285,-84.8968,9.8756285,21,118,5.619047619,6.941176471,1.235294118,5.9,1.05,0.19047619,0.761904762,0.047619048,5.8165,0.121618609,10.23077,9.520487,-85.25328,-84.54032
Gulf_of_Salamanca,Gulf of Salamanca,no,no,yes,no,"Duarte L.O.,GarcÃÂ±ÃÂa C.B.(2004). Trophic role of small pelagic fishes in a tropical upwelling ecosystem Ecological Modelling. pp 323-338",Colombia upwelling,marine,11.05,-74.25,11.05,18,102,5.666666667,6.8,1.2,6,1.058823529,0.166666667,0.777777778,0.055555556,5.468,0.108714832,11.2,10.9,-74.5,-74
Gulf_of_Thailande,Gulf of Thailande,no,no,yes,no,Christensen V.(1998). Fishery-induced changes in a marine ecosystem: insight from models of the Gulf of Thailand Journal of Fish Biology. pp 128-142,Thailand continental shelf,marine,11,101,11,29,135,4.655172414,5,1.074074074,5.4,1.16,0.068965517,0.793103448,0.137931034,5.267,0.247050754,13.5,8.5,99,103
High salt marsh - Cape Ann,High salt marsh - Cape Ann,no,yes,no,no,"R.W. Dexter. (1947). The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio-Ecology. Ecological Monographs, 17(3), pp. 261-294. ",High salt marsh - Cape Ann - Massachusetts,marine,42.33110352,-71.04619141,42.33110352,11,12,1.090909091,1.714285714,1.571428571,1.5,1.375,0.363636364,0.363636364,0.272727273,3.1735,0.40625,,,,
Hudson_Bay,Hudson Bay,no,no,yes,no,"Hoover C.(2010). Hudson Bay ecosystem: past, present, and future A Little Less Arctic. pp 217-236",Canada bay/fjord,marine,56.8311,-85.509435,56.8311,40,410,10.25,11.38888889,1.111111111,10.51282051,1.025641026,0.1,0.8,0.1,5.738,0.152592809,65.4605,48.2017,-96.797,-74.22187
Huizache_Caimanero,Huizache-Caimanero,no,no,yes,no,"Zetina-Rejan M.J.et al. (2003). Trophic structure and flows of energy in the HuizacheÃ¢-Caimanero lagoon complex on the Pacific coast of Mexico Estuarine, Coastal and Shelf Science. pp 803-815",Mexico coastal lagoon,marine,22.99028189,-106.1696121,22.99028189,26,189,7.269230769,8.217391304,1.130434783,7.56,1.04,0.115384615,0.807692308,0.076923077,4.937,0.109131113,23.2,22.85,-106.3,-105.95
Humboldt_Current,Humboldt Current,no,no,yes,no,"Tam J.,Taylor M.H.,Blaskovic V.,Espinoza P.,Michael BallÃÂ³n R.,DÃÂ­az E.,Wosnitza-Mendo C.,ArgÃÂ¼elles J.,Purca S.,AyÃÂ³n P.(2008). Trophic modeling of the Northern Humboldt current ecosystem, Part I: comparing trophic linkages under La NiÃÂ±a and El NiÃÂ±o conditions Progress in Oceanography. pp 352-365",Peru upwelling,marine,-10.0063305,-78.45912,10.0063305,33,172,5.212121212,5.733333333,1.1,6.142857143,1.178571429,0.090909091,0.757575758,0.151515152,4.9965,0.230346021,-3.992291,-16.02037,-83.10878,-73.80946
Icelandic_shelf,Icelandic shelf,no,no,yes,no,Samb B.(1999). Icelandic Shelf,Iceland open ocean,marine,63.80517578,-20.41396484,63.80517578,21,120,5.714285714,6.315789474,1.105263158,6.666666667,1.166666667,0.095238095,0.761904762,0.142857143,5.125,0.110923585,68,61,-28,-10
Independence_Bay,Independence Bay,no,no,yes,no,"Taylor M.H.,Wolff M.,Mendo J.,Yamashiro C.(2008). Changes in trophic flow structure of Independence Bay (Peru) over an ENSO cycle Progress in Oceanography. pp 336-351",Peru bay/fjord,marine,-14.24,-76.19,14.24,20,78,3.9,4.588235294,1.176470588,4.333333333,1.111111111,0.15,0.7,0.15,5.1005,0.223783695,-14.15,-14.33,-76.28,-76.1
Irish_Sea,Irish Sea,no,no,yes,no,"Lees K.,Mackinson S.(2007). An Ecopath model of the Irish Sea: ecosystems properties and sensitivity analysis. Science Series Technical Report","Ireland,U.K. of Great Britain and Northern Ireland continental shelf",marine,53.50717,-4.626665,53.50717,53,557,10.50943396,11.85106383,1.127659574,11.36734694,1.081632653,0.113207547,0.79245283,0.094339623,5.6865,0.175142318,55.13144,51.8829,-6.679788,-2.573542
Jalisco_and_Colima_Coast,Jalisco and Colima Coast,no,no,yes,no,"GalvÃÂ¡n PiÃÂ±a V.H.(2005). Impacto de la pesca en la estructura, funciÃÂ³n y productividad del ecosistema de la Plataforma Continental de las costas de Jalisco y Colima, MÃÂ©xico",Mexico continental shelf,marine,19.133335,-104.5667,19.133335,38,361,9.5,10.31428571,1.085714286,9.5,1,0.078947368,0.894736842,0.026315789,6.5215,0.176020722,19.35,18.91667,-105.0167,-104.1167
Jurien_Bay,Jurien Bay,no,no,yes,no,"Lozano-Montes H.M.,Loneragan N.R.,Babcock R.C.,Jackson K.(2011). Using trophic flows and ecosystem structure to model the effects of fishing in the Jurien Bay Marine Park, temperate Western Australia Marine and Freshwater Research. pp 421-431",Australia coastal lagoon,marine,-30.26053898,115.005237,30.26053898,80,637,7.9625,10.27419355,1.290322581,8.166666667,1.025641026,0.225,0.7375,0.0375,5.8215,0.213729861,-30.05,-30.45821,114.7848,115.297
Kaloko_Honokohau,Kaloko Honokohau,no,no,yes,no,"Wabnitz C.C.C.,Balazs G.,Beavers S.,Bjorndal K.A.,Bolten A.B.,Christensen V.,Hargrove S.,Pauly D.(2010). Ecosystem structure and processes at Kaloko Honokhau, focusing on the role of herbivores, including the green sea turtle Chelonia mydas, in reef resilience Marine Ecology Progress Series. pp 27-44",United States of America coral reef,marine,19.6769,-156.03415,19.6769,26,119,4.576923077,5.95,1.3,4.576923077,1,0.230769231,0.730769231,0.038461538,4.658,0.171856421,19.6911,19.6627,-156.0474,-156.0209
Knysna estuary,Knysna estuary - South Africa,no,yes,no,no,"Day, J.H. (1967). The biology of Knysna estuary, South Africa, in: Lauff, G.H. (Ed.) (1967). Estuaries. (American Association for the Advancement of Science Publication 83, Washington, DC), pp. 397-407.",Knysna estuary - South Africa,marine,-32.003125,29.12783203,32.003125,15,26,1.733333333,2.166666667,1.25,2,1.153846154,0.2,0.666666667,0.133333333,3.7765,0.235207101,,,,
Kuosheng_Bay,Kuosheng Bay,no,no,yes,no,"Lin H.-J.,Shao K.-T.,Hwang J.-S.,Lo W.-T.,Cheng I.-J.,Lee L.-H.(2004). A trophic model for Kuosheng Bay in northern Taiwan Journal of Marine Science and Technology. pp 424-432",Taiwan bay/fjord,marine,25.21552,121.6717,25.21552,17,50,2.941176471,3.571428571,1.214285714,3.333333333,1.133333333,0.176470588,0.705882353,0.117647059,4.878,0.2048,25.23295,25.19809,121.6421,121.7013
