Foodweb,Full_name,Source_Brose,Source_Gilbert,Source_EcoBase,Source_GlobalWeb,Citation,Notes,Habitat,Latitude,Longitude,AbsLat,Nodes,Links,Link_Density,Generality,Norm_Gen,Vulnerability,Norm_Vul,Fraction_Basal,Fraction_Intermediate,Fraction_Top,Mean_Food_Chain,Modularity,MinLat,MaxLat,MinLon,MaxLon
Baie_de_Seine,Baie de Seine,no,no,yes,no,"Halouani, G., Villanueva, C.-M., Raoux, A., Dauvin, J.C., Ben Rais Lasram, F., Foucher, E., Le LocÃ¢ÂÂh, F., Safi, G., Araignous, E., Robin, J.P., Niquil, N., 2020. A spatial food web model to investigate potential spillover effects of a fishery closure in an offshore wind farm. Journal of Marine Systems 212, 103434. https://doi.org/10.1016/j.jmarsys.2020.103434",France Estuary,marine,49.7,-0.565,49.7,42,333,7.928571429,8.538461538,1.076923077,9.514285714,1.2,0.071428571,0.761904762,0.166666667,5.3845,0.178947903,50.2,49.2,-1.3,0.17
Baja_California,Baja California,no,no,yes,no,"Cisneros-Montemayor A.M.,Christensen V.,ArreguÃÂ­n-SÃÂ¡nchez F.,Sumaila R.U.(2012). Ecosystem models for management advice: An analysis of recreational and commercial fisheries policies in Baja California Sur, Mexico Ecological Modelling. pp 8-16",Mexico continental shelf,marine,25.332815,-116.64755,25.332815,18,114,6.333333333,7.125,1.125,6.705882353,1.058823529,0.055555556,0.833333333,0.055555556,6.285,0.105661157,32.53302,18.13261,-128.5102,-104.7849
Bamboung,Bamboung,no,no,yes,no,"Collacter M.,Gascuel D.,Ecoutin J.-M.,Tito de Morais L.(2012). Modelling trophic flows in ecosystems to assess the efficiency of marine protected area (MPA), a case study on the coast of Senegal Ecological Modelling. pp 1-13",Senegal coastal lagoon,marine,13.73143887,-16.61867512,13.73143887,31,303,9.774193548,10.82142857,1.107142857,10.1,1.033333333,0.096774194,0.838709677,0.064516129,5.356,0.063659489,13.83899,13.74424,-16.56726,-16.49705
Barents_Sea,Barents Sea,no,no,yes,no,"Blanchard J.L.,Pinnegar J.K.,Mackinson S.(2002). Exploring Marine Mammal-Fishery Interactions Using 'Ecopath with Ecosim': Modelling the Barents Sea Ecosystem Science Series Technical Report",Russian Federation continental shelf,marine,73.430185,42.833685,73.430185,41,295,7.195121951,8.194444444,1.138888889,7.972972973,1.108108108,0.12195122,0.780487805,0.097560976,6.2835,0.228649082,81.00499,65.85538,16.73359,68.93378
Barnegat_Bay,Barnegat Bay,no,no,yes,no,"Vasslides, J.M., Townsend, H., Belton, T., Jensen, O.P., 2016. Modeling the effects of a power plant",United States Estuary,marine,39.77164656,-74.16369953,39.77164656,27,109,4.037037037,4.739130435,1.173913043,4.739130435,1.173913043,0.148148148,0.703703704,0.148148148,4.4435,0.204401986,40.06,39.5,-74.34,-74.09
Barra_Del_Chuy,Barra Del Chuy,no,no,yes,no,"Lercari D.,Bergamino L.,Defeo O.(2010). Trophic models in sandy beaches with contrasting morphodynamics: comparing ecosystem structure and biomass flow Ecological Modelling. pp 2751-2759",Uruguay beach,marine,-33.766595,-53.38916,33.766595,20,60,3,3.333333333,1.111111111,3.157894737,1.052631579,0.1,0.85,0.05,4.142,0.160694444,-33.7432,-33.78999,-53.41746,-53.36086
Bay pilings community,Bay pilings community - New Jersey,no,yes,no,no,"C.H. Peterson. (1979). The Importance of Predation and Competition in Organizing the Intertidal Epifaunal Communities of Barnegat Inlet, New Jersey. Oecologia. 39(1), pp. 1-24.",Bay pilings community - New Jersey,marine,39.97330511,-74.09752399,39.97330511,10,14,1.4,1.75,1.25,1.75,1.25,0.2,0.6,0.2,3.663,0.221938776,,,,
Bay_of_Biscay,Bay of Biscay,no,no,yes,no,"Moullec F., Gascuel D., Bentorcha K., et al., 2017, Journal of Marine systems, 172: 104Ã¢ÂÂ117.",France continental shelf,marine,45.68635,-4.1184347,45.68635,43,342,7.953488372,9,1.131578947,9,1.131578947,0.11627907,0.744186047,0.139534884,5.7965,0.166240287,48.14582,43.22688,-7.821107,-0.4157624
Bay_of_Biscay,Off the Bay of Biscay,no,no,no,yes,Pusineri et al (2005),Off the continental shelf,marine,45,-18,45,40,42,1.05,14,13.33333333,1.135135135,1.081081081,0.925,0,0.075,2,0.348356009,,,,
Benguela ecosystem,Benguela ecosystem - South Atlantic Ocean,no,yes,no,no,"Yodzis, P. (1998). Local trophpodynamics and the interaction of marine mammals and fisheries in the Benguela ecosystem. Journal of Animal Ecology. 67, pp. 635-658.",Benguela ecosystem - South Atlantic Ocean,marine,-12.53868285,13.38176324,12.53868285,29,203,7,7.518518519,1.074074074,7,1,0.068965517,0.931034483,0,7.3415,0.12362259,,,,
BlackSea,BlackSea,no,no,yes,no,Orek H.(2000). An application of mass balance Ecopath model to the trophic structure in the Black Sea after anchovy collapse,Not affiliated continental shelf,marine,44.0122,34.60878,44.0122,16,31,1.9375,2.214285714,1.142857143,2.384615385,1.230769231,0.125,0.6875,0.1875,4.75,0.390738814,47.37343,40.65097,27.25067,41.96689
Bolinao_Coral_Reef,Bolinao Coral Reef,no,no,yes,no,"Aliao P.M. et al. (1993). Initial parameter estimations of a coral reef flat ecosystem in Bolinao, Pangasinan, Northwestern Philippines . pp 252-258. In Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.",Philippines coastal lagoon,marine,16.20967865,119.7701174,16.20967865,26,108,4.153846154,5.142857143,1.238095238,4.695652174,1.130434783,0.192307692,0.692307692,0.115384615,6.125,0.189117973,16.25,16.16194,119.55,120.1395
Bonifacio_Straits_Natural_Reserve,Bonifacio Straits Natural Reserve,no,no,yes,no,"Vanalderweireldt, L. et al. 2024.",France marine-coastal,marine,41.45,9.05,41.45,39,413,10.58974359,11.8,1.114285714,10.58974359,1,0.102564103,0.897435897,0,11.589,0.115293149,41.6,41.3,8.6,9.5
BrasilCE,Brasil (CE),yes,no,no,no,"Vinagre et al., unpublished",Intertidal rocky pools,marine,-3.2116634,-39.26622,3.2116634,116,1415,12.19827586,18.37662338,1.506493507,14.29292929,1.171717171,0.336206897,0.517241379,0.146551724,7.197,0.118724514,,,,
BrasilSP,Brasil (SP),yes,no,no,no,"Vinagre et al., unpublished",Intertidal rocky pools,marine,-23.466831,-45.060127,23.466831,34,138,4.058823529,6.9,1.7,5.307692,1.307692232,0.4117647,0.3235294,0.2647059,4.037,0.2130592,,,,
British_Columbia_coast,British Columbia coast,no,no,yes,no,"Preikshot D.B.(2007). The influence of geographic scale, climate and trophic dynamics upon North Pacific oceanic ecosystem models",Canada continental shelf,marine,50.60142494,-127.7511119,50.60142494,53,463,8.735849057,9.26,1.06,11.29268293,1.292682927,0.056603774,0.716981132,0.226415094,5.4605,0.181179112,54.36631,46.83081,-133.7479,-121.9891
Burrard_Inlet_1750_1980_CE,Burrard Inlet 1750-1980 CE,no,no,yes,no,"Efford, M. (2024). Archaeological investigations and ecological modelling into pre-contact (1792 CE) Tsleil-Waututh stewardship of Burrard Inlet, BC, Canada (T). University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0445601",Canada bay/fjord,marine,49.38188791,-123.2763566,49.38188791,52,285,5.480769231,6.477272727,1.181818182,5.7,1.04,0.153846154,0.807692308,0.038461538,6.9905,0.230000263,49.49,49.26,-123.7,-122.83
Cadiz,Gulf of Cadiz food web - South western Spain,no,yes,no,no,"Torres, M.A., Coll, M., Heymans, J.J., Christensen, V., and Sobrino, I. (2013). Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling. 265, pp. 26-44.",Gulf of Cadiz food web - South western Spain,marine,30.69418945,-88.01132813,30.69418945,44,413,9.386363636,10.325,1.1,10.58974359,1.128205128,0.090909091,0.772727273,0.136363636,6.285,0.15624375,,,,
Calvi_Bay,Calvi Bay,no,no,yes,no,"Pinnegar J.K.,Polunin N.V.C.(2004). Predicting indirect effects of fishing in Mediterranean rocky littoral communities using a dynamic simulation model Ecological Modelling. pp 249-267",France bay/fjord,marine,42.57186766,8.751736033,42.57186766,27,169,6.259259259,7.041666667,1.125,7.041666667,1.125,0.111111111,0.777777778,0.111111111,5.37,0.152197353,42.59964,42.5339,8.69308,8.821139
Campeche,Campeche,no,no,yes,no,"Vega-Cendejas M.E.,ArreguÃÂ±n-SÃÂ¡nchez F.,HernÃÂ¡ndez M.(1993). Trophic fluxes on the Campeche Bank, Mexico . pp 206-213. In Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.",Mexico beach,marine,20.88087,-90.45393,20.88087,19,100,5.263157895,6.25,1.1875,7.142857143,1.357142857,0.157894737,0.578947368,0.263157895,4.31,0.078614958,21.01353,20.74821,-90.55273,-90.35513
