Location,Latitude,Longitude,state,country,Quality check,revised Lat,revised Long,CoordinateCleaner location,CC location rationale
Southern Pacific Isles,-8.783195,-124.50852,NA,NA,vague,,,,
Indian Ocean,-33.137551,81.826172,NA,NA,vague,,,,
Northern Indian Ocean,-33.137551,81.826172,NA,NA,vague,,,,
Arabian Sea,12.2501506,64.33717,NA,NA,vague,,,,
Persian Gulf,26.7505337,51.6834275,NA,NA,vague,,,,
Bay of Bengal,13.531665,87.5395855,NA,NA,vague,,,,
Southwest Indian Ocean,-33.137551,81.826172,NA,NA,vague,,,,
Indian Ocean Zone,-33.137551,81.826172,NA,NA,vague,,,,
Pacific Ocean Zone,-8.783195,-124.50852,NA,NA,vague,,,,
Northern Europe,62.2786475,12.3401709,NA,Sverige,,,,,
Iceland,64.963051,-19.020835,NA,Ísland,,,,,
Faroes,61.892635,-6.9118061,NA,Føroyar,,,,,
Finland,61.92411,25.7481511,Keski-Suomi,Suomi / Finland,,,,,
Norway,60.472024,8.468946,NA,Norge,,,,,
Sweden,60.128161,18.643501,NA,Sverige,,,,,
Denmark,56.26392,9.501785,Region Midtjylland,Danmark,,,,,
Spitzbergen (Svalbard),78.90136,13.4838877,NA,Norge,,,,,
Western Europe,46.2021848,1.2643875,Nouvelle-Aquitaine,France,,,,,
"England, Wales + Isle of Man",54.236107,-4.548056,NA,Isle of Man,,,,,
Scotland,56.4906712,-4.2026458,Alba / Scotland,United Kingdom,,,,,
Eire + N. Ireland,54.7877149,-6.4923145,Northern Ireland / Tuaisceart Éireann,United Kingdom,,,,,
Channel Islands,49.4466698,-2.342378,NA,Guernsey,,,,,
France,46.227638,2.213749,Nouvelle-Aquitaine,France,,,,,
Belgium + Luxembourg,50.0546886,5.4676983,Luxembourg,België / Belgique / Belgien,,,,,
Germany,51.165691,10.451526,Thüringen,Deutschland,,,,,
East Germany (!! USE Germany),51.165691,10.451526,Thüringen,Deutschland,,,,,
Switzerland + Lichtenstein,47.3682887,8.5374552,Zürich,Schweiz/Suisse/Svizzera/Svizra,,,,,
Austria,47.516231,14.550072,Steiermark,Österreich,,,,,
Italy,41.87194,12.56738,Lazio,Italia,,,,,
Yugoslavia,37.09024,-95.712891,Kansas,United States,,,,,
Albania,41.153332,20.168331,Shqipëria Qendrore,Shqipëria,,,,,
Greece,39.074208,21.824312,Περιφέρεια Στερεάς Ελλάδας,Ελλάς,,,,,
Crete,35.240117,24.8092691,Περιφέρεια Κρήτης,Ελλάς,,,,,
Cyprus,35.126413,33.429859,Κύπρος,Κύπρος - Kıbrıs,,,,,
Southwest Europe,41.2745004,-1.2121322,Aragón,España,,,,,
Spain + Andalusia,37.5442706,-4.7277528,Andalucía,España,,,,,
Balearic Islands,39.3587759,2.7356328,NA,España,,,,,
Corsica,42.0396042,9.0128926,Corse,France,,,,,
Sardinia,40.1208752,9.0128926,Sardigna/Sardegna,Italia,,,,,
Gibraltar,36.140751,-5.353585,NA,Gibraltar,,,,,
Lithuania,55.169438,23.881275,Kauno apskritis,Lietuva,,,,,
Estonia + Latvia,56.959624,24.1016552,NA,Latvija,,,,,
Byelorussia,53.709807,27.953389,Мінская вобласць,Беларусь,,,,,
Finno-Karelian ASSR,63.1558702,32.9905552,Карелия,Россия,,,,,
