parasiteScientificName,Location,Latitude,Longitude
Neoechinorhynchus saginatus,British Columbia,53.7266683,-127.6476205
Neoechinorhynchus rutili,Ontario,51.253775,-85.323214
Neoechinorhynchus saginatus,Ontario,51.253775,-85.323214
Neoechinorhynchus rutili,Yukon,64.2823274,-135
Echinorhynchus gadi,Quebec,52.9399159,-73.5491361
Echinorhynchus gadi,Nova Scotia,44.68198659999999,-63.744311
Echinorhynchus gadi,Alberta,53.9332706,-116.5765035
Neoechinorhynchus rutili,New Brunswick,46.5653163,-66.46191639999999
Pomphorhynchus bulbocolli,New Brunswick,46.5653163,-66.46191639999999
Pomphorhynchus bulbocolli,Nova Scotia,44.68198659999999,-63.744311
Echinorhynchus gadi,Northwest Territories,64.8255441,-124.8457334
Neoechinorhynchus rutili,Northwest Territories,64.8255441,-124.8457334
Echinorhynchus gadi,Arctic Ocean,65.2481624,-60.4620977
Echinorhynchus leidyi,Quebec,52.9399159,-73.5491361
Echinorhynchus salmonis,Quebec,52.9399159,-73.5491361
Leptorhynchoides thecatus,Quebec,52.9399159,-73.5491361
Leptorhynchoides thecatus,Labrador,48.66,-56.22
Neoechinorhynchus cylindratus,Ontario,51.253775,-85.323214
Neoechinorhynchus cylindratus,Quebec,52.9399159,-73.5491361
Neoechinorhynchus cristatus,British Columbia,53.7266683,-127.6476205
Neoechinorhynchus cylindratus,British Columbia,53.7266683,-127.6476205
Neoechinorhynchus rutili,Alberta,53.9332706,-116.5765035
Neoechinorhynchus cristatus,Alberta,53.9332706,-116.5765035
Neoechinorhynchus cristatus,Quebec,52.9399159,-73.5491361
Neoechinorhynchus cristatus,Labrador,48.66,-56.22
Pomphorhynchus bulbocolli,Quebec,52.9399159,-73.5491361
Neoechinorhynchus cristatus,Ontario,51.253775,-85.323214
Polymorphus minutus,Finland,61.92410999999999,25.7481511
Corynosoma strumosum,Atlantic Ocean,-14.5994134,-28.6731465
Neoechinorhynchus rutili,Newfoundland,53.1355091,-57.6604364
Neoechinorhynchus rutili,Labrador,48.66,-56.22
Pomphorhynchus bulbocolli,Canada,56.130366,-106.346771
Echinorhynchus gadi,Labrador,48.66,-56.22
Corynosoma magdaleni,Atlantic Ocean,-14.5994134,-28.6731465
Corynosoma semerme,Atlantic Ocean,-14.5994134,-28.6731465
Corynosoma strumosum,Arctic Ocean,65.2481624,-60.4620977
Moniliformis moniliformis,Uzbekistan,41.377491,64.585262
Macracanthorhynchus catulinus,Uzbekistan,41.377491,64.585262
Corynosoma australe,Southwest Atlantic,-14.5994134,-28.6731465
Neoechinorhynchus rutili,Iraq,33.223191,43.679291
Pomphorhynchus laevis,Tadzhikistan,38.861034,71.276093
Acanthocephalus lucii,Eire + N. Ireland,54.7877149,-6.4923145
Polymorphus marilis,Manitoba,53.7608608,-98.8138762
Filicollis anatis,East Germany (!! USE Germany),51.165691,10.451526
Neoechinorhynchus rutili,European USSR (CIS),54.5259614,15.2551187
Acanthocephalus anguillae,European USSR (CIS),54.5259614,15.2551187
Acanthocephalus lucii,European USSR (CIS),54.5259614,15.2551187
Paratenuisentis ambiguus,Germany,51.165691,10.451526
Macracanthorhynchus ingens,Kansas,39.011902,-98.4842465
