Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Moniliformis moniliformis,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Bolbosoma nipponicum,Coast of Japan,35.4543846,139.644207,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Pomphorhynchus laevis,Western coast of British Isles,56.41323389999999,-5.472362899999999,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Acanthocephalus lucii,Western coast of British Isles,56.41323389999999,-5.472362899999999,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Bolbosoma vasculosum,NW African coast,-8.783195,34.508523,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Pomphorhynchus laevis,Switzerland + Lichtenstein,47.3682887,8.5374552,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Macracanthorhynchus ingens,Nearctic,53.569001,-113.571487,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Corynosoma strumosum,Quebec,52.9399159,-73.5491361,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Neoechinorhynchus rutili,Northeast Atlantic,39.370134,-77.40677199999999,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Paratenuisentis ambiguus,Northeast Atlantic,39.370134,-77.40677199999999,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Tenuisentidae,Paratenuisentis
Acanthocephalus anguillae,Northeast Atlantic,39.370134,-77.40677199999999,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus salmonis,Northeast Atlantic,39.370134,-77.40677199999999,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Corynosoma semerme,Northeast Atlantic,39.370134,-77.40677199999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma strumosum,Northeast Atlantic,39.370134,-77.40677199999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Polymorphus minutus,Northeast Atlantic,39.370134,-77.40677199999999,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Macracanthorhynchus ingens,Pennsylvania,41.2033216,-77.1945247,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Moniliformis moniliformis,California,36.778261,-119.4179324,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Echinorhynchus salmonis,Nearctic,53.569001,-113.571487,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus cylindratus,Nearctic,53.569001,-113.571487,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,Nearctic,53.569001,-113.571487,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,Nearctic,53.569001,-113.571487,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Polymorphus minutus,Eire + N. Ireland,54.7877149,-6.4923145,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Acanthocephalus lucii,Switzerland + Lichtenstein,47.3682887,8.5374552,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Macracanthorhynchus ingens,Louisiana,30.9842977,-91.96233269999999,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Macracanthorhynchus ingens,United States,37.09024,-95.712891,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Plagiorhynchus cylindraceus,Nebraska,41.4925374,-99.9018131,2,terrestrial,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus
Pomphorhynchus laevis,Norway,60.47202399999999,8.468945999999999,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Neoechinorhynchus emydis,Louisiana,30.9842977,-91.96233269999999,3,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus emydis,Arkansas,35.20105,-91.8318334,3,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Macracanthorhynchus catulinus,Byelorussia,53.709807,27.953389,3,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Acanthocephalus ranae,Byelorussia,53.709807,27.953389,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Caballerorhynchus lamothei,Mexico,23.634501,-102.552784,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Cavisomidae,Caballerorhynchus
Polymorphus minutus,France,46.227638,2.213749,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Neoechinorhynchus rutili,Russia (Asian),61.52401,105.318756,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Echinorhynchus gadi,Russia (Asian),61.52401,105.318756,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Corynosoma strumosum,Russia (Asian),61.52401,105.318756,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma strumosum,Europe,54.5259614,15.2551187,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma semerme,Europe,54.5259614,15.2551187,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Acanthocephalus clavula,Europe,54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Corynosoma semerme,Finno-Karelian ASSR,63.15587019999999,32.9905552,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Neoechinorhynchus rutili,Yakut ASSR,66.7613451,124.123753,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Acanthocephalus anthuris,Italy,41.87194,12.56738,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Arhythmorhynchus frassoni,Italy,41.87194,12.56738,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Arhythmorhynchus
Echinorhynchus truttae,Italy,41.87194,12.56738,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus rutili,Russia (European),54.5259614,15.2551187,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Acanthocephalus anguillae,Russia (European),54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus lucii,Russia (European),54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Corynosoma strumosum,Germany,51.165691,10.451526,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Filicollis anatis,Europe,54.5259614,15.2551187,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Filicollis
Echinorhynchus salmonis,Wisconsin,43.7844397,-88.7878678,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Acanthocephalus lucii,Estonia + Latvia,56.95962400000001,24.1016552,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Bolbosoma balaenae,Pacific coast of USA,62.4113634,-149.0729714,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Fessisentis friedi,Nearctic,53.569001,-113.571487,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Fessisentidae,Fessisentis
Echinorhynchus gadi,Nearctic,53.569001,-113.571487,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Corynosoma strumosum,Nearctic,53.569001,-113.571487,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Echinorhynchus gadi,Finno-Karelian ASSR,63.15587019999999,32.9905552,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Pomphorhynchus laevis,Finno-Karelian ASSR,63.15587019999999,32.9905552,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Moniliformis moniliformis,Louisiana,30.9842977,-91.96233269999999,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Echinorhynchus gadi,Coast of Japan,35.4543846,139.644207,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Moniliformis moniliformis,Vietnam,14.058324,108.277199,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Bolbosoma vasculosum,Coast of Philippines,11.9574918,121.9269656,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Pomphorhynchus bulbocolli,United States,37.09024,-95.712891,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Corynosoma magdaleni,Baltic Sea,58.48795200000001,19.863281,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Sphaerirostris picae,"Ukraine, incl. Moldavia",48.379433,31.1655799,3,terrestrial,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae,Sphaerirostris
Moniliformis moniliformis,"Ukraine, incl. Moldavia",48.379433,31.1655799,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Corynosoma strumosum,New Zealand coast,-42.6919232,171.3399414,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Paratenuisentis ambiguus,France,46.227638,2.213749,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Tenuisentidae,Paratenuisentis
Acanthocephalus clavula,Atlantic Ocean,-14.5994134,-28.6731465,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus lucii,Atlantic Ocean,-14.5994134,-28.6731465,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus salmonis,Atlantic Ocean,-14.5994134,-28.6731465,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus rutili,Atlantic Ocean,-14.5994134,-28.6731465,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus laevis,Atlantic Ocean,-14.5994134,-28.6731465,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Corynosoma bullosum,South Georgia,-54.4138333,-36.5827165,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Profilicollis novaezelandensis,New Zealand coast,-42.6919232,171.3399414,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Arhythmorhynchus frassoni,Florida,27.6648274,-81.5157535,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Arhythmorhynchus
Profilicollis altmani,North Carolina,35.7595731,-79.01929969999999,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Profilicollis altmani,California,36.778261,-119.4179324,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Profilicollis
Mediorhynchus grandis,Australia,-25.274398,133.775136,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Giganthorhynchidae,Mediorhynchus
Echinorhynchus gadi,East China Sea/ Yellow Sea,35.4942771,123.7964613,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus salmonis,East China Sea/ Yellow Sea,35.4942771,123.7964613,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Arhythmorhynchus frassoni,East China Sea/ Yellow Sea,35.4942771,123.7964613,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Arhythmorhynchus
Bolbosoma vasculosum,South China Sea,15.488092,114.404754,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Polymorphus minutus,East China Sea/ Yellow Sea,35.4942771,123.7964613,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Acanthocephalus clavula,Spain + Andalusia,37.5442706,-4.7277528,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Corynosoma strumosum,Western coast of British Isles,56.41323389999999,-5.472362899999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Bolbosoma vasculosum,Bay of Bengal,13.531665,87.5395855,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Mediorhynchus centurorum,Florida,27.6648274,-81.5157535,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Giganthorhynchidae,Mediorhynchus
Corynosoma strumosum,Pacific coast of USA,62.4113634,-149.0729714,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Echinorhynchus gadi,Pacific coast of USA,62.4113634,-149.0729714,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Moniliformis moniliformis,Eastern & Central Europe,48.66,19.5,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Acanthocephalus dirus,Canada,56.130366,-106.346771,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Corynosoma semerme,United States,37.09024,-95.712891,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Echinorhynchus leidyi,Canada,56.130366,-106.346771,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus salmonis,Canada,56.130366,-106.346771,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Leptorhynchoides thecatus,Canada,56.130366,-106.346771,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Neoechinorhynchus cylindratus,United States,37.09024,-95.712891,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,United States,37.09024,-95.712891,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus saginatus,United States,37.09024,-95.712891,2,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Acanthocephalus lucii,Black Sea,43.41302899999999,34.299316,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Corynosoma australe,Uruguay,-32.522779,-55.765835,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Polymorphus trochus,Florida,27.6648274,-81.5157535,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Polymorphus
Golvanacanthus blennii,Mediterranean,34.5531284,18.0480105,2,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Golvanacanthus
Corynosoma magdaleni,Finland,61.92410999999999,25.7481511,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Neoechinorhynchus rutili,Iran,32.427908,53.688046,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Plagiorhynchus cylindraceus,Florida,27.6648274,-81.5157535,2,terrestrial,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus
Mediorhynchus grandis,Florida,27.6648274,-81.5157535,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Gigantorhynchida,Giganthorhynchidae,Mediorhynchus
Plagiorhynchus cylindraceus,Pennsylvania,41.2033216,-77.1945247,2,terrestrial,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus
Avitellina centripunctata,Kuwait,29.31166,47.481766,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Avitellina
Moniezia expansa,Kuwait,29.31166,47.481766,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Moniezia
Hymenolepis nana,Bahrain,26.0667,50.5577,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Rodentolepis
Taenia parva,Egypt,26.820553,30.802498,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Echinococcus multilocularis,Alaska,64.2008413,-149.4936733,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Austramphilina elongata,New South Wales,-31.2532183,146.921099,2,freshwater,Animalia,Platyhelminthes,Cestoda,Amphilinidea,Schizochoeridae,Austramphilina
Echinococcus granulosus,Kuwait,29.31166,47.481766,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Taenia saginata,Taiwan,23.69781,120.960515,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia solium,Taiwan,23.69781,120.960515,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Joyeuxiella pasqualei,Greece,39.074208,21.824312,3,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dipylidiidae,Joyeuxiella
Taenia taeniaeformis,Eire + N. Ireland,54.7877149,-6.4923145,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Taenia taeniaeformis,Arkansas,35.20105,-91.8318334,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera
Taenia madoquae,Kenya,-0.023559,37.906193,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Taenia saginata,Belgium + Luxembourg,50.0546886,5.467698299999999,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Echinococcus granulosus,Spain + Andalusia,37.5442706,-4.7277528,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Echinococcus granulosus,"England, Wales + Isle of Man",54.236107,-4.548056,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Schistocephalus solidus,Norway,60.47202399999999,8.468945999999999,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus
Diphyllobothrium ditremum,Scotland,56.49067119999999,-4.2026458,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Dibothriocephalus
Bothriocephalus claviceps,"England, Wales + Isle of Man",54.236107,-4.548056,2,freshwater,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Bothriocephalus
Echinococcus multilocularis,Montana,46.8796822,-110.3625658,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Ligula intestinalis,"England, Wales + Isle of Man",54.236107,-4.548056,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Ligula
Diphyllobothrium ditremum,Canada,56.130366,-106.346771,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Dibothriocephalus
Eubothrium salvelini,Canada,56.130366,-106.346771,3,freshwater,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Triaenophoridae,Eubothrium
Taenia solium,Hong Kong,22.396428,114.109497,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Diphyllobothrium ditremum,Finland,61.92410999999999,25.7481511,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Dibothriocephalus
Tatria biremis,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Amabiliidae,Tatria
Wardium paraporale,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Wardium
Ligula intestinalis,Alberta,53.9332706,-116.5765035,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Ligula
Schistocephalus solidus,Alberta,53.9332706,-116.5765035,3,freshwater,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus
Schistotaenia srivastavai,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Schistotaenia tenuicirrus,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Schistotaenia colymba,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Lateriporus skrjabini,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Dilepididae,Lateriporus
Taenia hydatigena,Ethiopia (incl. Dhibouti),11.59516,43.146473,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Echinococcus granulosus,Ethiopia (incl. Dhibouti),11.59516,43.146473,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus
Amphilina foliacea,European USSR (CIS),54.5259614,15.2551187,2,freshwater,Animalia,Platyhelminthes,Cestoda,Amphilinidea,Amphilinidae,Amphilina
Bothriocephalus opsariichthydis,Georgia (USSR),42.315407,43.35689199999999,2,freshwater,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Bothriocephalus
Taenia solium,Mexico,23.634501,-102.552784,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia
Moniezia expansa,Ontario,51.253775,-85.323214,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Moniezia
Parabisaccanthes philactes,Eastern & Central Europe,48.66,19.5,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Parabisaccanthes
Bothriocephalus gregarius,Western Mediterranean,34.5531284,18.0480105,3,marine,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Bothriocephalus
Fimbriaria fasciolaris,Switzerland + Lichtenstein,47.3682887,8.5374552,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Fimbriaria
Microsomacanthus compressa,Switzerland + Lichtenstein,47.3682887,8.5374552,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Microsomacanthus
Microsomacanthus paracompressa,Switzerland + Lichtenstein,47.3682887,8.5374552,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Microsomacanthus
Microsomacanthus spiralibursata,Switzerland + Lichtenstein,47.3682887,8.5374552,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Microsomacanthus
Sobolevicanthus krabbeella,Switzerland + Lichtenstein,47.3682887,8.5374552,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Sobolevicanthus
Sobolevicanthus gracilis,Switzerland + Lichtenstein,47.3682887,8.5374552,3,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Sobolevicanthus
Aploparaksis furcigera,Switzerland + Lichtenstein,47.3682887,8.5374552,2,terrestrial,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Aploparaksis
Cloacotaenia megalops,Switzerland + Lichtenstein,47.3682887,8.5374552,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Cloacotaenia
Parabisaccanthes philactes,Switzerland + Lichtenstein,47.3682887,8.5374552,2,freshwater,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Parabisaccanthes
