Parasite.species,Location,Latitude,Longitude,Habitat
Neoechinorhynchus rutili,Yukon,64.2823274,-135,freshwater
Echinorhynchus gadi,Quebec,52.9399159,-73.5491361,marine
Echinorhynchus gadi,Nova Scotia,44.68198659999999,-63.744311,marine
Echinorhynchus gadi,Alberta,53.9332706,-116.5765035,marine
Neoechinorhynchus rutili,New Brunswick,46.5653163,-66.46191639999999,freshwater
Pomphorhynchus bulbocolli,New Brunswick,46.5653163,-66.46191639999999,freshwater
Pomphorhynchus bulbocolli,Nova Scotia,44.68198659999999,-63.744311,freshwater
Echinorhynchus gadi,Northwest Territories,64.8255441,-124.8457334,marine
Neoechinorhynchus rutili,Northwest Territories,64.8255441,-124.8457334,freshwater
Echinorhynchus gadi,Arctic Ocean,65.2481624,-60.4620977,marine
Echinorhynchus leidyi,Quebec,52.9399159,-73.5491361,freshwater
Echinorhynchus salmonis,Quebec,52.9399159,-73.5491361,freshwater
Leptorhynchoides thecatus,Quebec,52.9399159,-73.5491361,freshwater
Leptorhynchoides thecatus,Labrador,48.66,-56.22,freshwater
Neoechinorhynchus cylindratus,Ontario,51.253775,-85.323214,freshwater
Neoechinorhynchus cylindratus,Quebec,52.9399159,-73.5491361,freshwater
Neoechinorhynchus cristatus,British Columbia,53.7266683,-127.6476205,freshwater
Neoechinorhynchus cylindratus,British Columbia,53.7266683,-127.6476205,freshwater
Neoechinorhynchus rutili,Alberta,53.9332706,-116.5765035,freshwater
Neoechinorhynchus cristatus,Alberta,53.9332706,-116.5765035,freshwater
Neoechinorhynchus cristatus,Quebec,52.9399159,-73.5491361,freshwater
Neoechinorhynchus cristatus,Labrador,48.66,-56.22,freshwater
Pomphorhynchus bulbocolli,Quebec,52.9399159,-73.5491361,freshwater
Neoechinorhynchus cristatus,Ontario,51.253775,-85.323214,freshwater
Polymorphus minutus,Finland,61.92410999999999,25.7481511,freshwater
Corynosoma strumosum,Atlantic Ocean,-14.5994134,-28.6731465,marine
Neoechinorhynchus rutili,Newfoundland,53.1355091,-57.6604364,freshwater
Neoechinorhynchus rutili,Labrador,48.66,-56.22,freshwater
Pomphorhynchus bulbocolli,Canada,56.130366,-106.346771,freshwater
Echinorhynchus gadi,Labrador,48.66,-56.22,marine
Corynosoma magdaleni,Atlantic Ocean,-14.5994134,-28.6731465,marine
Corynosoma semerme,Atlantic Ocean,-14.5994134,-28.6731465,marine
Corynosoma strumosum,Arctic Ocean,65.2481624,-60.4620977,marine
Moniliformis moniliformis,Uzbekistan,41.377491,64.585262,terrestrial
Macracanthorhynchus catulinus,Uzbekistan,41.377491,64.585262,terrestrial
Corynosoma australe,Southwest Atlantic,-14.5994134,-28.6731465,marine
Neoechinorhynchus rutili,Iraq,33.223191,43.679291,freshwater
Pomphorhynchus laevis,Tadzhikistan,38.861034,71.276093,freshwater
Acanthocephalus lucii,Eire + N. Ireland,54.7877149,-6.4923145,freshwater
Polymorphus marilis,Manitoba,53.7608608,-98.8138762,freshwater
Filicollis anatis,East Germany (!! USE Germany),51.165691,10.451526,freshwater
Neoechinorhynchus rutili,European USSR (CIS),54.5259614,15.2551187,freshwater
Acanthocephalus anguillae,European USSR (CIS),54.5259614,15.2551187,freshwater
Acanthocephalus lucii,European USSR (CIS),54.5259614,15.2551187,freshwater
Paratenuisentis ambiguus,Germany,51.165691,10.451526,freshwater
Macracanthorhynchus ingens,Kansas,39.011902,-98.4842465,terrestrial
Moniliformis moniliformis,Australia,-25.274398,133.775136,terrestrial
Oncicola pomatostomi,Australia,-25.274398,133.775136,terrestrial
Echinorhynchus gadi,Northeast Atlantic,39.370134,-77.40677199999999,marine
Bolbosoma vasculosum,Northeast Atlantic,39.370134,-77.40677199999999,marine
Plagiorhynchus cylindraceus,Arkansas,35.20105,-91.8318334,terrestrial
Mediorhynchus grandis,Arkansas,35.20105,-91.8318334,terrestrial
Corynosoma strumosum,"England, Wales + Isle of Man",54.236107,-4.548056,marine
Corynosoma strumosum,Scotland,56.49067119999999,-4.2026458,marine
Pomphorhynchus bulbocolli,Indiana,40.2671941,-86.1349019,freshwater
Acanthocephalus dirus,Indiana,40.2671941,-86.1349019,freshwater
Neoechinorhynchus cylindratus,Indiana,40.2671941,-86.1349019,freshwater
Pomphorhynchus bulbocolli,Lake Superior,47.723087,-86.940716,freshwater
Neoechinorhynchus rutili,Lake Superior,47.723087,-86.940716,freshwater
Bolbosoma balaenae,New South Wales,-31.2532183,146.921099,marine
Corynosoma australe,South Australia,-30.0002315,136.2091547,marine
Echinorhynchus borealis,Lake Baikal,53.5587003,108.1649965,freshwater
Neoechinorhynchus cristatus,Lake Superior,47.723087,-86.940716,freshwater
Leptorhynchoides thecatus,Lake Superior,47.723087,-86.940716,freshwater
Neoechinorhynchus cylindratus,Lake Superior,47.723087,-86.940716,freshwater
Leptorhynchoides thecatus,Lake Huron,45.0521793,-82.48509399999999,freshwater
Pomphorhynchus bulbocolli,Lake Huron,45.0521793,-82.48509399999999,freshwater
Neoechinorhynchus rutili,Lake Huron,45.0521793,-82.48509399999999,freshwater
Polymorphus paradoxus,Canada,56.130366,-106.346771,freshwater
Pallisentis nagpurensis,Bangladesh,23.684994,90.356331,freshwater
Aspersentis megarhynchus,Southwest Indian Ocean,-33.137551,81.826172,marine
Moniliformis moniliformis,European USSR (CIS),54.5259614,15.2551187,terrestrial
Neoechinorhynchus cristatus,Lake Huron,45.0521793,-82.48509399999999,freshwater
Echinorhynchus gadi,Mediterranean,34.5531284,18.0480105,marine
Corynosoma hamanni,Southwest Indian Ocean,-33.137551,81.826172,marine
Bolbosoma vasculosum,Southwest Indian Ocean,-33.137551,81.826172,marine
Bolbosoma vasculosum,Arabian Sea,12.2501506,64.33717,marine
Moniliformis moniliformis,Kazakstan,48.019573,66.923684,terrestrial
Neoechinorhynchus cylindratus,Lake Huron,45.0521793,-82.48509399999999,freshwater
Echinorhynchus gadi,Sea of Japan,38.848848,135,marine
Echinorhynchus truttae,Japan,36.204824,138.252924,freshwater
Pomphorhynchus bulbocolli,Lake Erie,42.0668852,-81.3399414,freshwater
Neoechinorhynchus cristatus,Lake Erie,42.0668852,-81.3399414,freshwater
Moniliformis moniliformis,Corsica,42.0396042,9.012892599999999,terrestrial
Leptorhynchoides thecatus,Lake Erie,42.0668852,-81.3399414,freshwater
Neoechinorhynchus cylindratus,Lake Erie,42.0668852,-81.3399414,freshwater
Neoechinorhynchus rutili,Lake Erie,42.0668852,-81.3399414,freshwater
Neoechinorhynchus rutili,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Leptorhynchoides thecatus,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Filicollis anatis,Italy,41.87194,12.56738,freshwater
Neoechinorhynchus saginatus,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Neoechinorhynchus cristatus,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Pomphorhynchus bulbocolli,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Neoechinorhynchus cylindratus,Lake Ontario,43.6333482,-77.82706689999999,freshwater
Neoechinorhynchus rutili,Finno-Karelian ASSR,63.15587019999999,32.9905552,freshwater
Pomphorhynchus bulbocolli,Saskatchewan,52.9399159,-106.4508639,freshwater
Moniliformis moniliformis,Scotland,56.49067119999999,-4.2026458,terrestrial
Acanthocephalus anguillae,Finno-Karelian ASSR,63.15587019999999,32.9905552,freshwater
Echinorhynchus borealis,Finno-Karelian ASSR,63.15587019999999,32.9905552,freshwater
Corynosoma bullosum,Southwest Atlantic,-14.5994134,-28.6731465,marine
Corynosoma pseudohamanni,Southwest Atlantic,-14.5994134,-28.6731465,marine
Moniliformis clarki,Uzbekistan,41.377491,64.585262,terrestrial
Corynosoma strumosum,Iran,32.427908,53.688046,marine
Echinorhynchus gadi,North Sea,56.511018,3.515625,marine
Polymorphus minutus,Armenia,40.069099,45.038189,freshwater
Aspersentis megarhynchus,Southwest Atlantic,-14.5994134,-28.6731465,marine
Metacanthocephalus johnstoni,Southwest Atlantic,-14.5994134,-28.6731465,marine
Corynosoma hamanni,Southwest Atlantic,-14.5994134,-28.6731465,marine
Acanthocephalus anguillae,France,46.227638,2.213749,freshwater
Acanthocephalus lucii,France,46.227638,2.213749,freshwater
Pomphorhynchus laevis,France,46.227638,2.213749,freshwater
Corynosoma strumosum,Alaska,64.2008413,-149.4936733,marine
Corynosoma semerme,Alaska,64.2008413,-149.4936733,marine
Polymorphus minutus,Alaska,64.2008413,-149.4936733,freshwater
Filicollis anatis,Armenia,40.069099,45.038189,freshwater
Polymorphus minutus,Kazakstan,48.019573,66.923684,freshwater
Centrorhynchus aluconis,"Ukraine, incl. Moldavia",48.379433,31.1655799,terrestrial
Acanthocephalus anthuris,Spain + Andalusia,37.5442706,-4.7277528,freshwater
Centrorhynchus aluconis,Spain + Andalusia,37.5442706,-4.7277528,terrestrial
Moniliformis moniliformis,Balearic Islands,39.3587759,2.7356328,terrestrial
Bolbosoma vasculosum,Mediterranean,34.5531284,18.0480105,marine
Neoechinorhynchus cylindratus,Canada,56.130366,-106.346771,freshwater
Neoechinorhynchus rutili,Canada,56.130366,-106.346771,freshwater
Bolbosoma balaenae,Atlantic Ocean,-14.5994134,-28.6731465,marine
Bolbosoma vasculosum,Atlantic Ocean,-14.5994134,-28.6731465,marine
Corynosoma cetaceum,Atlantic Ocean,-14.5994134,-28.6731465,marine
Echinorhynchus truttae,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Pomphorhynchus laevis,Italy,41.87194,12.56738,freshwater
Pomphorhynchus laevis,Greece,39.074208,21.824312,freshwater
Pomphorhynchus laevis,European USSR (CIS),54.5259614,15.2551187,freshwater
Golvanacanthus blennii,Black Sea,43.41302899999999,34.299316,marine
Filicollis anatis,Germany,51.165691,10.451526,freshwater
Plagiorhynchus cylindraceus,United States,37.09024,-95.712891,terrestrial
Moniliformis moniliformis,Indonesia & Malaysia,-0.789275,113.921327,terrestrial
Moniliformis moniliformis,Fijian Islands,-17.713371,178.065032,terrestrial
Corynosoma strumosum,Turkmenistan,38.969719,59.556278,marine
Macracanthorhynchus catulinus,Turkmenistan,38.969719,59.556278,terrestrial
Filicollis anatis,Kirgizia,41.20438,74.766098,freshwater
